dsid,regime,n,trial,wbic,fe,chains,draws,tune,mean_divergences,total_divergences,max_divergences,divergences_per_chain,chain_tree_depth,n_components
e-singular,50,50,5,168.7335526555736,169.7844955505565,1,1000,2500,0.0,0,0,[0],7,2
singular1,50,50,5,141.5382641290287,143.95989430524912,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,5,145.78939903515908,147.43107250879044,1,1000,2500,0.0,0,0,[0],10,2
regular,250,250,5,845.9471096475435,848.7401674343537,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,5,816.5497053530585,817.6532206614467,1,1000,2500,0.0,0,0,[0],6,2
singular1,250,250,5,683.1067863485479,685.5189046437832,1,1000,2500,0.0,0,0,[0],8,2
singular2,250,250,5,735.7091072197184,737.1034830419916,1,1000,2500,0.0,0,0,[0],9,2
regular,5000,5000,5,16472.117314050294,16473.04359740923,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,5,16031.749564238286,16029.871281315494,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,5,13454.595744435075,13457.072215429258,1,1000,2500,0.0,0,0,[0],9,2
singular2,5000,5000,5,14850.360626622589,14851.57244274599,1,1000,2500,0.0,0,0,[0],10,2
regular,50,50,6,175.84150442342087,178.9210264761288,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,6,149.72945220060174,152.1881950524489,1,1000,2500,0.0,0,0,[0],8,2
singular1,50,50,6,136.12901534645883,138.51500773839123,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,6,155.57146336498298,157.51111479550485,1,1000,2500,0.0,0,0,[0],8,2
regular,250,250,6,799.6898124475285,802.0601154466312,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,6,809.1588812335932,810.2242024098332,1,1000,2500,0.0,0,0,[0],6,2
singular1,250,250,6,655.39229991612,657.2730296705428,1,1000,2500,0.0,0,0,[0],9,2
singular2,250,250,6,741.6250786580359,742.9165510278448,1,1000,2500,0.0,0,0,[0],10,2
regular,5000,5000,6,16611.715907598227,16613.216783982854,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,6,16123.142190040646,16121.986296324763,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,6,13495.503125923666,13497.27841011182,1,1000,2500,0.0,0,0,[0],10,2
singular2,5000,5000,6,14941.338802221357,14941.911460596166,1,1000,2500,0.0,0,0,[0],10,2
regular,50,50,7,172.458228298413,175.039030870311,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,7,162.81128271715298,163.99514872009584,1,1000,2500,0.0,0,0,[0],8,2
singular1,50,50,7,136.37173129780874,138.1277791788294,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,7,143.53956439737084,145.33312778406076,1,1000,2500,0.0,0,0,[0],8,2
regular,250,250,7,813.397702315066,815.8250832586244,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,7,818.8408385948925,820.3623925203091,1,1000,2500,0.0,0,0,[0],7,2
singular1,250,250,7,670.3889863819935,672.2726078553197,1,1000,2500,0.0,0,0,[0],9,2
singular2,250,250,7,745.1510659092502,746.601713109571,1,1000,2500,0.0,0,0,[0],10,2
regular,5000,5000,7,16536.86642960409,16537.569814979895,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,7,16119.845911439772,16119.691608367317,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,7,13433.574530057314,13434.279271487128,1,1000,2500,0.0,0,0,[0],10,2
singular2,5000,5000,7,14974.415441817124,14976.78603731316,1,1000,2500,0.0,0,0,[0],8,2
regular,50,50,8,176.2456791047725,179.29592959433123,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,8,167.11623258637294,168.45799111513918,1,1000,2500,0.0,0,0,[0],7,2
singular1,50,50,8,141.55788760661036,144.02172081049383,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,8,149.92352937737078,151.7509703509344,1,1000,2500,0.0,0,0,[0],8,2
regular,250,250,8,815.1372036925836,817.9005507802804,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,8,799.3365377469962,800.5053469559143,1,1000,2500,0.0,0,0,[0],5,2
singular1,250,250,8,668.1988584987527,670.5176296702925,1,1000,2500,0.0,0,0,[0],8,2
singular2,250,250,8,735.9932172529316,737.9301988066688,1,1000,2500,0.0,0,0,[0],10,2
regular,5000,5000,8,16492.6409677872,16492.86249442834,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,8,16051.85764945833,16052.707663014731,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,8,13396.268704919665,13396.574189565485,1,1000,2500,0.0,0,0,[0],10,2
singular2,5000,5000,8,14931.140314441238,14932.944924140813,1,1000,2500,0.0,0,0,[0],9,2
regular,50,50,9,172.7343418024289,175.99614748198107,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,9,158.65431070110796,160.32081916677743,1,1000,2500,0.0,0,0,[0],8,2
singular1,50,50,9,131.64818425366846,133.91464292580687,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,9,152.6253121850117,154.67252960034006,1,1000,2500,0.0,0,0,[0],8,2
regular,250,250,9,836.0300115571324,838.4157806418937,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,9,798.8521741384427,799.6806662220683,1,1000,2500,0.0,0,0,[0],7,2
singular1,250,250,9,662.9403772396661,665.1523013145523,1,1000,2500,0.0,0,0,[0],8,2
singular2,250,250,9,752.7784617635219,754.8279641438985,1,1000,2500,0.0,0,0,[0],7,2
regular,5000,5000,9,16546.770158203923,16546.993702247575,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,9,16112.06502482953,16111.801449898408,1,1000,2500,0.0,0,0,[0],5,2
singular1,5000,5000,9,13474.85982157467,13475.374760122397,1,1000,2500,0.0,0,0,[0],10,2
singular2,5000,5000,9,14880.64442653807,14882.335005370966,1,1000,2500,0.0,0,0,[0],9,2
regular,50,50,10,166.79443127302085,169.78162334282416,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,10,172.64346554248482,173.81511772004646,1,1000,2500,0.0,0,0,[0],6,2
singular1,50,50,10,133.98438339183346,135.96596353779137,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,10,149.82164077131296,151.30566854166202,1,1000,2500,0.0,0,0,[0],8,2
regular,250,250,10,827.7516156076333,830.3713320185857,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,10,818.4740123325236,819.861220675143,1,1000,2500,0.0,0,0,[0],6,2
singular1,250,250,10,664.2543138588405,666.4560235218522,1,1000,2500,0.0,0,0,[0],8,2
singular2,250,250,10,757.1148853109704,759.4310472033455,1,1000,2500,0.0,0,0,[0],8,2
regular,5000,5000,10,16529.30815844258,16529.088039932434,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,10,16114.176615421744,16114.87613055518,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,10,13414.24720442882,13415.899440779976,1,1000,2500,0.0,0,0,[0],8,2
singular2,5000,5000,10,14905.814883814037,14906.519536401904,1,1000,2500,0.0,0,0,[0],9,2
regular,50,50,11,172.3169517671933,175.11959557893772,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,11,169.3438382324207,170.79225078215214,1,1000,2500,0.0,0,0,[0],7,2
singular1,50,50,11,138.78739662865203,141.14546575019472,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,11,152.0594229734515,153.89629068190936,1,1000,2500,0.0,0,0,[0],9,2
regular,250,250,11,851.937874122766,854.4867861038445,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,11,818.1015621676654,819.4150539519379,1,1000,2500,0.0,0,0,[0],6,2
singular1,250,250,11,682.2663458786246,684.6069724372184,1,1000,2500,0.0,0,0,[0],9,2
singular2,250,250,11,750.5751179167826,752.6825644107566,1,1000,2500,0.0,0,0,[0],8,2
regular,5000,5000,11,16511.600506485527,16511.939300545822,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,11,16085.384270863928,16084.024487381126,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,11,13450.91872954786,13452.864260398595,1,1000,2500,0.0,0,0,[0],10,2
singular2,5000,5000,11,14902.92302725773,14905.058704599736,1,1000,2500,0.0,0,0,[0],8,2
regular,50,50,12,178.3795758441923,180.9384959160327,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,12,175.0695545454773,176.03082664620018,1,1000,2500,0.0,0,0,[0],7,2
singular1,50,50,12,145.4362272790029,147.32884623146938,1,1000,2500,0.0,0,0,[0],9,2
singular2,50,50,12,155.1195157962892,156.815240145031,1,1000,2500,0.0,0,0,[0],9,2
regular,250,250,12,805.3709300514857,807.5766854469989,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,12,814.4274317671473,815.2902397044016,1,1000,2500,0.0,0,0,[0],6,2
singular1,250,250,12,673.4130595887316,676.0409978738951,1,1000,2500,0.0,0,0,[0],9,2
singular2,250,250,12,752.0619787955912,754.1998913417434,1,1000,2500,0.0,0,0,[0],8,2
regular,5000,5000,12,16501.947225916523,16503.617683763085,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,12,16032.710380426868,16033.10316488531,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,12,13444.563869869264,13445.468481448252,1,1000,2500,0.0,0,0,[0],10,2
singular2,5000,5000,12,14979.5675462569,14981.583145834584,1,1000,2500,0.0,0,0,[0],9,2
regular,50,50,13,160.27988310610849,163.06451168059945,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,13,157.62290282886116,159.55289478512236,1,1000,2500,0.0,0,0,[0],8,2
singular1,50,50,13,136.5386037880654,138.73786820640126,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,13,147.55609227472235,149.41134569513056,1,1000,2500,0.0,0,0,[0],8,2
regular,250,250,13,811.6640339280365,814.3636312488424,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,13,807.5097547123934,808.7400427775639,1,1000,2500,0.0,0,0,[0],6,2
singular1,250,250,13,678.094992372723,680.069466535442,1,1000,2500,0.0,0,0,[0],9,2
singular2,250,250,13,745.597531508818,747.5793346659527,1,1000,2500,0.0,0,0,[0],9,2
regular,5000,5000,13,16614.667909480067,16616.177872918932,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,13,16133.072240679036,16131.816431318724,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,13,13418.308328734722,13420.194070099124,1,1000,2500,0.0,0,0,[0],8,2
singular2,5000,5000,13,14866.805033536702,14868.521687851857,1,1000,2500,0.0,0,0,[0],10,2
regular,50,50,14,170.98788679607782,173.76955072877635,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,14,157.7980400185277,160.41321936173654,1,1000,2500,0.0,0,0,[0],8,2
singular1,50,50,14,143.51689021409527,145.58637134513282,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,14,155.98147317549893,157.604448644891,1,1000,2500,0.0,0,0,[0],9,2
regular,250,250,14,824.1279429566644,825.7765648634227,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,14,809.7085911132738,810.8163753195062,1,1000,2500,0.0,0,0,[0],6,2
singular1,250,250,14,671.4388878763386,672.9647793830698,1,1000,2500,0.0,0,0,[0],9,2
singular2,250,250,14,741.0494319897346,742.8195979046668,1,1000,2500,0.0,0,0,[0],9,2
regular,5000,5000,14,16463.915430435514,16465.369614924683,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,14,16063.498701980585,16064.447623708167,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,14,13464.349715694696,13466.317986522394,1,1000,2500,0.0,0,0,[0],9,2
singular2,5000,5000,14,14840.847918026338,14841.766526597548,1,1000,2500,0.0,0,0,[0],9,2
regular,50,50,15,171.46397528731643,174.12950985953265,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,15,175.14975880138675,176.77988239958285,1,1000,2500,0.0,0,0,[0],6,2
singular1,50,50,15,132.26616487660212,134.7463050455186,1,1000,2500,0.0,0,0,[0],7,2
singular2,50,50,15,147.10387394068042,148.87516188272227,1,1000,2500,0.0,0,0,[0],9,2
regular,250,250,15,815.4376294027546,817.6460463123161,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,15,829.3731525759704,831.2956587308619,1,1000,2500,0.0,0,0,[0],6,2
singular1,250,250,15,666.4978123830342,669.1782142782538,1,1000,2500,0.0,0,0,[0],9,2
singular2,250,250,15,750.7429752017456,752.4777665720499,1,1000,2500,0.0,0,0,[0],8,2
regular,5000,5000,15,16589.71307952744,16589.6921678745,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,15,16007.436435186337,16006.243031852986,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,15,13464.148661371732,13465.219577272535,1,1000,2500,0.0,0,0,[0],10,2
singular2,5000,5000,15,14943.175314781136,14944.7099798547,1,1000,2500,0.0,0,0,[0],10,2
regular,50,50,16,167.68181870604857,170.1340410953331,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,16,161.6892869504176,163.3629397288135,1,1000,2500,0.0,0,0,[0],8,2
singular1,50,50,16,132.17111972695105,133.83938816096406,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,16,155.89200372310864,157.83082232446154,1,1000,2500,0.0,0,0,[0],9,2
regular,250,250,16,835.4656358687629,837.2667499420651,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,16,803.7347170794555,804.4962140324762,1,1000,2500,0.0,0,0,[0],7,2
singular1,250,250,16,679.0683392674483,680.9094737396618,1,1000,2500,0.0,0,0,[0],8,2
singular2,250,250,16,751.614699722371,753.7567678104144,1,1000,2500,0.0,0,0,[0],10,2
regular,5000,5000,16,16528.04720115678,16528.735733325,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,16,15961.37589205206,15961.49433445004,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,16,13423.568451664802,13424.700643640144,1,1000,2500,0.0,0,0,[0],10,2
singular2,5000,5000,16,14889.874613488164,14891.017194700657,1,1000,2500,0.0,0,0,[0],8,2
regular,50,50,17,177.5539885420792,180.2511902642226,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,17,152.13099125056604,154.01405851122016,1,1000,2500,0.0,0,0,[0],7,2
singular1,50,50,17,133.81612118048966,135.61757858245858,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,17,154.1235906305431,155.93475699240733,1,1000,2500,0.0,0,0,[0],8,2
regular,250,250,17,819.0678102149783,821.1499152615175,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,17,797.4062340229382,798.8573704404488,1,1000,2500,0.0,0,0,[0],7,2
singular1,250,250,17,669.4664205462251,671.2620528457761,1,1000,2500,0.0,0,0,[0],9,2
singular2,250,250,17,745.3072874385875,747.7129975593373,1,1000,2500,0.0,0,0,[0],9,2
regular,5000,5000,17,16522.290100351616,16523.516941187965,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,17,16005.970441969532,16005.158269835223,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,17,13529.161897495702,13530.84541952162,1,1000,2500,0.0,0,0,[0],10,2
singular2,5000,5000,17,14930.781853135828,14932.163648625416,1,1000,2500,0.0,0,0,[0],9,2
regular,50,50,18,166.6359757512522,169.4744077169078,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,18,170.53923239155637,171.80922273138188,1,1000,2500,0.0,0,0,[0],7,2
singular1,50,50,18,139.0415484616453,141.2182966900995,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,18,147.0361400418255,149.0324806118499,1,1000,2500,0.0,0,0,[0],8,2
regular,250,250,18,841.2874670141831,843.5401363639224,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,18,831.6427862138878,833.1567579642565,1,1000,2500,0.0,0,0,[0],6,2
singular1,250,250,18,691.7723503961629,694.0874959847224,1,1000,2500,0.0,0,0,[0],9,2
singular2,250,250,18,748.1344048999823,750.1439707543879,1,1000,2500,0.0,0,0,[0],9,2
regular,5000,5000,18,16614.460167926714,16615.205932286983,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,18,16146.52984342044,16147.567114977684,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,18,13459.532910289154,13462.21547823982,1,1000,2500,0.0,0,0,[0],9,2
singular2,5000,5000,18,14937.291875692892,14938.06954414239,1,1000,2500,0.0,0,0,[0],9,2
regular,50,50,19,167.88400012958303,170.95865215445582,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,19,168.5428554380019,170.3601299419764,1,1000,2500,0.0,0,0,[0],7,2
singular1,50,50,19,140.0832574031809,142.52223412099823,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,19,149.06883192032294,151.3026981210678,1,1000,2500,0.0,0,0,[0],8,2
regular,250,250,19,833.5219903846709,836.462208585566,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,19,811.8628892008096,813.2731211552551,1,1000,2500,0.0,0,0,[0],6,2
singular1,250,250,19,670.2105933611819,672.3391654777797,1,1000,2500,0.0,0,0,[0],8,2
singular2,250,250,19,736.1736325513967,738.282967273761,1,1000,2500,0.0,0,0,[0],9,2
regular,5000,5000,19,16567.186086611917,16568.345395052802,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,19,16058.657779723064,16057.685422740498,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,19,13496.80514100339,13498.46473941091,1,1000,2500,0.0,0,0,[0],10,2
singular2,5000,5000,19,14916.562873953666,14916.233118661668,1,1000,2500,0.0,0,0,[0],8,2
regular,50,50,20,169.86717680018523,172.32846960548687,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,20,162.4652802567142,163.9716643833998,1,1000,2500,0.0,0,0,[0],8,2
singular1,50,50,20,142.1720672320471,143.8228288868606,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,20,158.70265798426834,160.3768282230949,1,1000,2500,0.0,0,0,[0],8,2
regular,250,250,20,820.5316929842304,823.1128029352867,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,20,798.2154160794666,799.2751361277369,1,1000,2500,0.0,0,0,[0],6,2
singular1,250,250,20,671.7279414457444,673.8862201992416,1,1000,2500,0.0,0,0,[0],8,2
singular2,250,250,20,745.9862362062358,747.5194943470176,1,1000,2500,0.0,0,0,[0],9,2
regular,50,50,0,168.43220597263996,170.39122060239978,1,1000,2500,0.0,0,0,[0],8,3
e-singular,50,50,0,161.65884370958477,163.21622800508032,1,1000,2500,0.0,0,0,[0],9,3
singular1,50,50,0,145.44905608141917,147.06456796885945,1,1000,2500,0.0,0,0,[0],9,3
singular2,50,50,0,155.34018038467028,156.6753969866701,1,1000,2500,0.0,0,0,[0],9,3
regular,250,250,0,844.0421121031736,846.2556234758077,1,1000,2500,0.0,0,0,[0],9,3
e-singular,250,250,0,824.4005493043337,825.8196469868751,1,1000,2500,0.0,0,0,[0],8,3
singular1,250,250,0,695.5964131477382,698.2089652499419,1,1000,2500,0.0,0,0,[0],9,3
singular2,250,250,0,757.5086563935466,759.6795643067952,1,1000,2500,0.0,0,0,[0],9,3
regular,5000,5000,0,16474.89355066101,16475.56295189171,1,1000,2500,0.0,0,0,[0],10,3
e-singular,5000,5000,0,16123.654073865646,16123.296059774497,1,1000,2500,0.0,0,0,[0],9,3
singular1,5000,5000,0,13387.80906900016,13388.313390851195,1,1000,2500,0.0,0,0,[0],10,3
singular2,5000,5000,0,14851.982645915015,14854.27384184492,1,1000,2500,0.0,0,0,[0],9,3
regular,50,50,1,164.69735852107755,166.65512539232594,1,1000,2500,0.0,0,0,[0],8,3
e-singular,50,50,1,163.1126477440469,164.69646399100372,1,1000,2500,0.0,0,0,[0],8,3
singular1,50,50,1,142.344351631224,144.3066893454223,1,1000,2500,0.0,0,0,[0],9,3
singular2,50,50,1,154.186214319067,155.47150111046443,1,1000,2500,0.0,0,0,[0],9,3
regular,250,250,1,837.3943784376276,839.3533694726787,1,1000,2500,0.0,0,0,[0],9,3
e-singular,250,250,1,801.6851609694506,802.1734555449971,1,1000,2500,0.0,0,0,[0],9,3
singular1,250,250,1,658.7957906826549,659.9922765918814,1,1000,2500,0.0,0,0,[0],9,3
singular2,250,250,1,742.2078798630378,744.5247739055561,1,1000,2500,0.0,0,0,[0],9,3
regular,5000,5000,1,16542.13322724048,16543.038579264547,1,1000,2500,0.0,0,0,[0],10,3
e-singular,5000,5000,1,16048.969981377206,16049.63159788645,1,1000,2500,0.0,0,0,[0],10,3
singular1,5000,5000,1,13453.497110098582,13455.308930560552,1,1000,2500,0.0,0,0,[0],10,3
singular2,5000,5000,1,14911.37146560912,14912.70096258982,1,1000,2500,0.0,0,0,[0],10,3
regular,50,50,2,171.90093971441817,173.76307616416085,1,1000,2500,0.0,0,0,[0],8,3
e-singular,50,50,2,167.2476352102466,168.5955036225821,1,1000,2500,0.0,0,0,[0],8,3
singular1,50,50,2,136.97842674291115,138.1652967579638,1,1000,2500,0.0,0,0,[0],9,3
singular2,50,50,2,153.19878357238136,154.5910145766671,1,1000,2500,0.0,0,0,[0],9,3
regular,250,250,2,849.9379502269798,852.1310687621068,1,1000,2500,0.0,0,0,[0],9,3
e-singular,250,250,2,809.1553899875616,809.8210374924827,1,1000,2500,0.0,0,0,[0],9,3
singular1,250,250,2,668.280088231402,670.6964751777549,1,1000,2500,0.0,0,0,[0],9,3
