trial,RLCT,beta,c,n,chain_size
4,0.549883150129071,0.868588963806504,2,10,4000
4,0.856851671819986,0.511244437270663,2,50,4000
4,0.699521852181623,0.434294481903252,2,100,4000
4,0.745014750861642,0.39915098238271,2,150,4000
4,0.752438382922726,0.37747833163551,2,200,4000
4,0.81037687715247,0.362222974997411,2,250,4000
4,0.809115229284577,0.350644508076292,2,300,4000
4,0.879016357229552,0.341417347596271,2,350,4000
4,0.813931010421044,0.333808200695334,2,400,4000
4,0.678674255656454,0.327372556588224,2,450,4000
4,0.706895362325383,0.321822384988005,2,500,4000
5,0.115910545182755,0.0434294481903252,0.1,10,4000
5,0.325872261146936,0.0255622218635331,0.1,50,4000
5,0.401057738781215,0.0217147240951626,0.1,100,4000
5,0.497268179298504,0.0199575491191355,0.1,150,4000
5,0.572007731573006,0.0188739165817755,0.1,200,4000
5,0.624204017801499,0.0181111487498706,0.1,250,4000
5,0.619212072900764,0.0175322254038146,0.1,300,4000
5,0.626881066603909,0.0170708673798136,0.1,350,4000
5,0.614553015884552,0.0166904100347667,0.1,400,4000
5,0.636918677400323,0.0163686278294112,0.1,450,4000
5,0.713778257482235,0.0160911192494002,0.1,500,4000
5,0.507223365405495,0.434294481903252,1,10,4000
5,0.821764448473024,0.255622218635331,1,50,4000
5,0.715095240331885,0.217147240951626,1,100,4000
5,0.722234041057672,0.199575491191355,1,150,4000
5,0.653581474489388,0.188739165817755,1,200,4000
5,0.719111368956037,0.181111487498706,1,250,4000
5,0.632571687544695,0.175322254038146,1,300,4000
5,0.788848581663837,0.170708673798136,1,350,4000
5,0.80016093172615,0.166904100347667,1,400,4000
5,0.747595612555434,0.163686278294112,1,450,4000
5,0.707041373068679,0.160911192494003,1,500,4000
5,0.575890197203257,0.868588963806504,2,10,4000
5,0.745061980339363,0.511244437270663,2,50,4000
5,0.690957961603848,0.434294481903252,2,100,4000
5,0.853024232766524,0.39915098238271,2,150,4000
5,0.74165392368622,0.37747833163551,2,200,4000
5,0.851427799928444,0.362222974997411,2,250,4000
5,0.677403822776574,0.350644508076292,2,300,4000
5,0.857757928388629,0.341417347596271,2,350,4000
5,0.744133040451385,0.333808200695334,2,400,4000
5,0.723434897191515,0.327372556588224,2,450,4000
5,0.718217955512163,0.321822384988005,2,500,4000
6,0.12068188090143,0.0434294481903252,0.1,10,4000
6,0.352946347717758,0.0255622218635331,0.1,50,4000
6,0.387288688332971,0.0217147240951626,0.1,100,4000
6,0.505512219329665,0.0199575491191355,0.1,150,4000
6,0.537758857482537,0.0188739165817755,0.1,200,4000
6,0.539453084433695,0.0181111487498706,0.1,250,4000
6,0.548379161517638,0.0175322254038146,0.1,300,4000
6,0.666756252987645,0.0170708673798136,0.1,350,4000
6,0.726768945939693,0.0166904100347667,0.1,400,4000
6,0.616746475333102,0.0163686278294112,0.1,450,4000
6,0.630014939578504,0.0160911192494002,0.1,500,4000
6,0.609241545405842,0.434294481903252,1,10,4000
6,0.836348727055942,0.255622218635331,1,50,4000
6,0.665045552777935,0.217147240951626,1,100,4000
6,0.700009690113476,0.199575491191355,1,150,4000
6,0.663158521955059,0.188739165817755,1,200,4000
6,0.811473124475486,0.181111487498706,1,250,4000
6,0.775322040758976,0.175322254038146,1,300,4000
6,0.810101373489953,0.170708673798136,1,350,4000
6,0.809983285833637,0.166904100347667,1,400,4000
6,0.790035489531944,0.163686278294112,1,450,4000
6,0.687241038828608,0.160911192494003,1,500,4000
6,0.573540755209371,0.868588963806504,2,10,4000
6,0.714230754183171,0.511244437270663,2,50,4000
6,0.695824094167314,0.434294481903252,2,100,4000
6,0.875718584437811,0.39915098238271,2,150,4000
6,0.814571546630338,0.37747833163551,2,200,4000
6,0.730026061055336,0.362222974997411,2,250,4000
6,0.670338552890922,0.350644508076292,2,300,4000
6,0.997492086721409,0.341417347596271,2,350,4000
6,0.747603499428981,0.333808200695334,2,400,4000
6,0.769530679049508,0.327372556588224,2,450,4000
6,0.661352648120134,0.321822384988005,2,500,4000
7,0.106636422495574,0.0434294481903252,0.1,10,4000
7,0.303360690958167,0.0255622218635331,0.1,50,4000
7,0.449831222346828,0.0217147240951626,0.1,100,4000
7,0.526790617603628,0.0199575491191355,0.1,150,4000
7,0.551255110209546,0.0188739165817755,0.1,200,4000
7,0.658370924125894,0.0181111487498706,0.1,250,4000
