dsid,regime,n,trial,nu,wbic,afe0,adjusted_wbic,chains,draws,tune,mean_divergences,total_divergences,max_divergences,divergences_per_chain,chain_tree_depth,n_components
singular1,50,50,1,0.548044839653566,134.4193920633227,135.63804005392464,133.87134722366915,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,1,0.5567249463549406,115.0271086679964,114.80952678497337,114.47038372164145,1,1000,2500,0.0,0,0,[0],7,2
regular,50,50,1,1.316157954532556,151.22455164465535,152.526685285464,149.9083936901228,1,1000,2500,0.0,0,0,[0],9,3
e-singular,50,50,1,0.95223092577027,138.36624517398752,140.60041951610302,137.41401424821726,1,1000,2500,0.0,0,0,[0],8,3
singular1,50,50,1,0.5615435879729193,136.6327455709835,136.6160458052817,136.07120198301058,1,1000,2500,0.0,0,0,[0],8,3
singular2,50,50,1,0.5764174027242537,116.87404552595282,115.7875325363304,116.29762812322856,1,1000,2500,0.0,0,0,[0],8,3
regular,50,50,1,1.293436835184218,153.4490137755627,154.48269678817806,152.15557694037847,1,1000,2500,0.0,0,0,[0],9,5
e-singular,50,50,1,0.823405022357808,140.81648321647702,142.55643101881708,139.99307819411922,1,1000,2500,0.0,0,0,[0],8,5
singular1,50,50,1,0.5921938308086366,140.6659468837507,138.57205730799575,140.07375305294207,1,1000,2500,0.0,0,0,[0],9,5
singular2,50,50,1,0.5225573802370608,119.38121584671082,117.74354403904448,118.85865846647376,1,1000,2500,0.0,0,0,[0],8,5
regular,50,50,1,1.2091522363142695,154.7876348261597,156.43870829089212,153.5784825898454,1,1000,2500,0.0,0,0,[0],9,7
e-singular,50,50,1,0.8112408112222812,143.61612132636574,144.51244252153117,142.80488051514345,1,1000,2500,0.0,0,0,[0],9,7
singular1,50,50,1,0.6148092873756926,144.25378137665956,140.5280688107098,143.63897208928387,1,1000,2500,0.0,0,0,[0],9,7
singular2,50,50,1,0.49704710770380445,122.14887762236116,119.69955554175856,121.65183051465735,1,1000,2500,0.0,0,0,[0],8,7
regular,50,50,1,1.03748374232876,155.88704902009317,158.3947197936062,154.8495652777644,1,1000,2500,0.0,0,0,[0],9,9
e-singular,50,50,1,0.7406084519526158,145.96755429374244,146.46845402424523,145.2269458417898,1,1000,2500,0.0,0,0,[0],8,9
singular1,50,50,1,0.5544834037025748,147.61374493079649,142.4840803134239,147.05926152709392,1,1000,2500,0.0,0,0,[0],9,9
