rlct,hypers,mean_divergences,total_divergences,max_divergences,divergences_per_chain,chain_tree_depth,dsid,regime,k,n,trial,chains,draws,tune,name,duration
2.1811895809574504,c=1,0.0,0,0,[0],9,e-singular,250,5,250,0,1,2000,4000,toru,55.97434115500005
3.887448508649722,"c=1,d=1",0.0,0,0,"[0, 0]",10,singular1,250,5,250,0,1,2000,4000,watanabe,74.2803939590001
2.600015828610279,c=1,0.0,0,0,[0],9,singular1,250,5,250,0,1,2000,4000,toru,47.98658763000003
3.755706978273401,"c=1,d=1",0.0,0,0,"[0, 0]",9,singular2,250,5,250,0,1,2000,4000,watanabe,60.364700931000016
2.2555507497452485,c=1,0.0,0,0,[0],9,singular2,250,5,250,0,1,2000,4000,toru,39.22224519700012
1.602383242644461,"c=1,d=1",0.0,0,0,"[0, 0]",5,regular,5000,2,5000,0,1,2000,4000,watanabe,99.24252476299988
1.646515912390176,c=1,0.0,0,0,[0],6,regular,5000,2,5000,0,1,2000,4000,toru,59.75476932499987
1.4387126811572188,"c=1,d=1",0.0,0,0,"[0, 0]",7,e-singular,5000,2,5000,0,1,2000,4000,watanabe,121.34145764899996
1.5767422341266135,c=1,0.0,0,0,[0],7,e-singular,5000,2,5000,0,1,2000,4000,toru,67.78711695599986
0.9770105373514132,"c=1,d=1",0.0,0,0,"[0, 0]",10,singular1,5000,2,5000,0,1,2000,4000,watanabe,253.72744789800004
0.8468177080629706,c=1,0.0,0,0,[0],10,singular1,5000,2,5000,0,1,2000,4000,toru,134.21355373300003
0.7038605670809903,"c=1,d=1",0.0,0,0,"[0, 0]",10,singular2,5000,2,5000,0,1,2000,4000,watanabe,287.33006620499987
0.7332581483262366,c=1,0.0,0,0,[0],9,singular2,5000,2,5000,0,1,2000,4000,toru,131.15095177600006
2.007311362917556,"c=1,d=1",0.0,0,0,"[0, 0]",10,regular,5000,3,5000,0,1,2000,4000,watanabe,459.479812867
1.4851378714798067,c=1,0.0,0,0,[0],10,regular,5000,3,5000,0,1,2000,4000,toru,360.550739929
1.724392035530646,"c=1,d=1",0.0,0,0,"[0, 0]",10,e-singular,5000,3,5000,0,1,2000,4000,watanabe,375.0107459579999
1.6416396497936667,c=1,0.0,0,0,[0],10,e-singular,5000,3,5000,0,1,2000,4000,toru,388.51784105299976
1.4482341835332342,"c=1,d=1",0.0,0,0,"[0, 0]",10,singular1,5000,3,5000,0,1,2000,4000,watanabe,398.7094654039997
1.2035056380270153,c=1,0.0,0,0,[0],10,singular1,5000,3,5000,0,1,2000,4000,toru,286.5899801380001
1.4356097693982843,"c=1,d=1",0.0,0,0,"[0, 0]",10,singular2,5000,3,5000,0,1,2000,4000,watanabe,401.4958641009998
