dsid,regime,n,trial,rlct,hypers,name,chains,draws,tune,mean_divergences,total_divergences,max_divergences,divergences_per_chain,chain_tree_depth,duration
singular1,50,50,0,1.5342907542926534,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,
singular1,250,250,0,0.131523373309987,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,
singular1,250,250,0,0.131523373309987,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,
singular1,50,50,0,1.0914673607929688,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,
singular1,250,250,0,1.0321282688486475,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,
singular1,250,250,0,1.0321282688486475,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,
e-singular,50,50,0,0.7219143944947461,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,9.140040458005387
e-singular,250,250,0,0.939760658057108,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,8.604138540977146
e-singular,250,250,0,0.939760658057108,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,8.604138540977146
regular,50,50,0,1.9306881847703985,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",6,10.089331916999072
regular,250,250,0,1.9539782392478515,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",6,6.324483875010628
regular,250,250,0,1.9539782392478515,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",6,6.324483875010628
e-singular,50,50,0,1.0940241019045034,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,14.240868249966296
e-singular,250,250,0,1.536739966798926,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,9.186467999999875
e-singular,250,250,0,1.536739966798926,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,9.186467999999875
singular1,50,50,1,1.236322714354781,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,7.726884624978993
singular1,250,250,1,0.572477861493746,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,14.669518999988211
regular,5000,5000,1,2.080923112951788,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",7,33.09314099996118
singular1,50,50,1,1.02021902768282,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,7.806768416019622
singular1,250,250,1,1.1278669659688143,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,14.20005304197548
regular,5000,5000,1,1.5158690493420086,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",5,30.97839795803884
singular1,50,50,2,1.6933266943757612,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,8.063374916033354
singular1,250,250,2,1.2849796278236203,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,12.14889770798618
regular,5000,5000,2,2.37051481529891,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",7,30.53889429202536
singular1,50,50,2,1.1965042047097971,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,8.395877541974187
singular1,250,250,2,1.0381848306373276,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,13.422286292014178
e-singular,5000,5000,2,1.6507733644666418,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",7,46.3836669580196
singular1,50,50,3,0.0312010526507773,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,7.815445624990389
