dsid,n,p0,p1,w0,fisher_mat
regular,50,0.15575816266101492,0.36136907250056033,0.6671293493502085,"[ 3.02268974e+00 -4.90593669e-03 -1.03817957e-01 -4.90593669e-03
  7.14067162e-02  1.69303200e-03 -1.03817957e-01  1.69303200e-03
  3.72513753e-02]"
regular,50,0.15553365049239395,0.3460887537840184,0.7603509498367066,"[ 5.54139934e+00 -1.03873689e-02 -9.38042141e-02 -1.03873689e-02
  1.51850219e-02  6.11658252e-04 -9.38042141e-02  6.11658252e-04
  4.26506774e-02]"
regular,50,0.33558098679604687,0.15876301650555505,0.16874406738990463,"[ 6.21129489e-03 -1.91340760e-02  1.30008002e-03 -1.91340760e-02
  5.41809903e+00  5.40582830e-02  1.30008002e-03  5.40582830e-02
  4.73933388e-02]"
regular,50,0.1593859421148042,0.3452491558490049,0.6986275188090719,"[ 3.19023141e+00 -1.37252065e-02 -9.76847732e-02 -1.37252065e-02
  4.47817266e-02  1.42841491e-03 -9.76847732e-02  1.42841491e-03
  4.18689648e-02]"
regular,50,0.340683423817175,0.14976778606099878,0.3259670850979729,"[ 5.56563253e-02 -1.36640039e-02 -2.52118119e-03 -1.36640039e-02
  3.61236474e+00 -9.85584592e-03 -2.52118119e-03 -9.85584592e-03
  2.95748959e-02]"
regular,50,0.3545842437571631,0.14184929636812166,0.3889850005723183,"[ 9.21095170e-02 -2.33067445e-03  4.66223891e-03 -2.33067445e-03
  2.76405105e+00 -8.54740063e-03  4.66223891e-03 -8.54740063e-03
  3.40081608e-02]"
regular,50,0.14616638414247735,0.35163053645448294,0.6571975448516862,"[ 2.79668056e+00 -4.61726157e-03 -4.28666409e-02 -4.61726157e-03
  7.69988583e-02  2.34942415e-03 -4.28666409e-02  2.34942415e-03
  3.66171891e-02]"
regular,50,0.1476488778691917,0.3365898250052288,0.7917279301956945,"[ 7.00874816e+00 -1.06720621e-02 -1.79165979e-01 -1.06720621e-02
  1.66942743e-02  8.19006537e-04 -1.79165979e-01  8.19006537e-04
  4.64251831e-02]"
regular,50,0.35902760549182194,0.14887973073749974,0.2803752801753635,"[ 2.53651723e-02 -2.65951215e-03  2.56888235e-03 -2.65951215e-03
  4.69960405e+00  3.94744560e-02  2.56888235e-03  3.94744560e-02
  4.19778228e-02]"
regular,50,0.3476423764262823,0.16537625928635566,0.3457786982166337,"[ 8.72139333e-02 -2.28201516e-02 -8.27737687e-04 -2.28201516e-02
  2.01473636e+00  5.82182433e-02 -8.27737687e-04  5.82182433e-02
  3.30124018e-02]"
regular,50,0.15505202284600458,0.3468278601276035,0.7760511555429601,"[ 5.36433338e+00 -1.04163966e-02 -3.59840662e-02 -1.04163966e-02
  1.61358029e-02 -1.92115062e-03 -3.59840662e-02 -1.92115062e-03
  3.95938981e-02]"
regular,50,0.34414759877051343,0.1434918331764683,0.1819442701556499,"[ 8.83575645e-03 -4.45316561e-03 -3.13510887e-04 -4.45316561e-03
  7.49444878e+00  1.85047834e-01 -3.13510887e-04  1.85047834e-01
  5.47104378e-02]"
regular,50,0.36937317537722114,0.15293862142971706,0.21651523620229857,"[ 1.39435389e-02 -2.80308774e-03 -5.87515836e-04 -2.80308774e-03
  5.13709733e+00  9.44903959e-02 -5.87515836e-04  9.44903959e-02
  3.85473852e-02]"
