chain,draw,like,weights_0,weights_1,weights_2,mus_0,mus_1,mus_2
0,0,-0.8484050243346939,0.006394258565078797,0.00010512109858996246,0.9935006203363314,-0.39038980850609223,1.276353416630177,0.5613665123222135
0,1,-0.8253777154916581,0.29138591448887713,0.6800264418543123,0.02858764365681059,-0.4734738518662432,-1.294997212194139,0.8508829400342603
0,2,-1.4765026977324105,0.5572353834722416,0.4292277180479727,0.013536898479785703,-0.024874647400584336,-0.6177046882112583,-0.7733710420716283
0,3,0.9158022062794867,0.8780507706207333,0.008369580329436166,0.1135796490498306,0.9491401265842352,-0.9247171952617429,-2.4351508054130653
0,4,1.0141767659677863,0.9063206534911088,0.0936163783303622,6.296817852906188e-05,-0.374698248281437,-0.2918457303533163,2.5706463691755914
0,5,-1.9011528653588539,0.8332645357344691,0.12540041046604122,0.04133505379948949,-0.9152432883731393,-2.1362045545805217,-0.7386078037873333
0,6,1.3141220397785307,0.9207289997368918,0.0780825669553289,0.0011884333077792446,0.3383829756113072,1.9285974763724512,-0.5228407283818786
0,7,-0.8810371589414233,0.12126392071360843,0.878308049808511,0.0004280294778805639,-0.1544127940493768,-0.5958075818548713,0.0363827996567877
0,8,0.8240368325504775,0.7537124334124585,0.24559251097451243,0.0006950556130290884,-0.681456582907347,-0.2969106281732012,-0.9317154920683228
0,9,0.6437069281763678,0.00012289125634012344,0.0001357846500142507,0.9997413240936456,1.5607205301296172,1.6133221924662844,0.2349443049525413
0,10,0.1439706524237856,0.9980547809621892,0.0001114288057099974,0.0018337902321008159,0.6378134718813192,-1.092908585552976,-0.6227438394976991
0,11,0.6077835161825367,0.630373182859756,0.000373308633247451,0.36925350850699656,-0.4639939295520441,-3.0768067018433696,-0.3443550021763578
0,12,0.2622818645926696,0.0016338139902289783,1.1636969838714456e-05,0.9983545490399324,-0.12136558701579218,0.6178376264225091,-0.8452353357158051
0,13,-0.3356648377008522,0.00017927444518521786,2.4155991506555572e-06,0.9998183099556641,1.3277354955027216,0.44960827203472614,0.6691530300565399
0,14,-0.3300684454518907,0.000506298049872954,1.1674238423563583e-06,0.9994925345262846,-0.19392177142014008,1.144664625588092,-1.0982175296556904
0,15,-0.5737265568439723,0.024593208482842955,1.54094176323184e-05,0.9753913820995247,-1.513718923038096,-1.86705378656604,0.8250854323408641
0,16,-0.9395010237992201,0.048563957466015405,0.021576963575883835,0.9298590789581008,0.884838197566286,2.8202186740135806,0.45633469167123725
