,rho1,rho2,p1,p2,dsid,ss
0,0.5262474416368149,0.47375255836318503,0.30243502870879324,0.2067415534789691,0,100
1,0.6726149341403413,0.3273850658596582,0.30056950106910635,0.2016966310311607,0,500
2,0.6506987225690053,0.34930127743099526,0.3041548418266646,0.20565866088022858,0,1000
3,0.08310192749887026,0.9168980725011292,0.36334634731322135,0.29414961845528925,1,100
4,0.0019561173452940714,0.9980438826547042,0.4383511748390028,0.30231389511753015,1,500
5,0.0010837301576534372,0.9989162698423413,0.473399395060663,0.3011433208975905,1,1000
6,0.7327987162565459,0.267201283743454,0.31106676634936387,0.2651584302159887,2,100
7,1.1055034011889304e-17,1.0,0.4321437819559034,0.30022,2,500
8,5.595031508654277e-18,1.0,0.4244554826208421,0.29816,2,1000
