,dsid,n,pname,mle,truth,estimate_fisher_info,estimate_var,estimate_std_error,abs_error,squared_error
0,regular,50,p0,0.14724487725198254,0.15,5.4555190366083615,0.183400208771048,0.4282525058549547,0.0027551227480174523,7.590701356643238e-06
1,regular,50,p1,0.37050912792171453,0.35,0.024730822388967198,40.471632524213966,6.361731880880706,0.020509127921714554,0.00042062432810925155
2,regular,50,w0,0.7529603481857614,0.75,0.0343807918222321,29.12678079645194,5.396923271314123,0.002960348185761408,8.76366138094086e-06
3,regular,250,p0,0.14611359641828978,0.15,23.74264137792064,0.04273426192076002,0.20672266910225404,0.0038864035817102183,1.5104132799930013e-05
4,regular,250,p1,0.3568640416531811,0.35,0.1609469232887476,6.214594987465441,2.4929089408691687,0.006864041653181108,4.7115067816605235e-05
5,regular,250,w0,0.7401362378111684,0.75,0.20277236808947627,5.004323777586494,2.237034594633372,0.00986376218883156,9.729380451782316e-05
6,regular,5000,p0,0.15025732011731338,0.15,509.2751200394952,0.002003583439176767,0.044761405688123417,0.00025732011731338655,6.621364277417502e-08
7,regular,5000,p1,0.3526530690682623,0.35,2.1815117445920675,0.45850460662514403,0.6771296822803916,0.002653069068262348,7.038775480970444e-06
8,regular,5000,w0,0.7601101795154379,0.75,4.32001511953437,0.23614629595624687,0.48594886146203375,0.010110179515437911,0.00010221572983438036
9,e-singular,50,p0,0.273875610189502,0.25,4.93110500771418,0.20828482816543936,0.45638232674528423,0.023875610189502017,0.0005700447619210525
10,e-singular,50,p1,0.559834564272624,0.35,2.7687085314126002e-09,364225744.6474728,19084.699228635298,0.20983456427262404,0.044030544363481985
11,e-singular,50,w0,0.9799817780532443,0.75,0.031139921592333916,32.87062209391827,5.733290686326507,0.22998177805324427,0.052891618236531705
12,e-singular,250,p0,0.2552604086643423,0.25,16.85614051591115,0.1847164126191896,0.4297864732855021,0.005260408664342298,2.7671899315887516e-05
13,e-singular,250,p1,0.36244255877145837,0.35,0.19772632374401555,17.471846996762427,4.17993385076396,0.01244255877145839,0.0001548172687811961
14,e-singular,250,w0,0.8479262515319181,0.75,0.12076846926053977,20.21380525040098,4.495976562483503,0.09792625153191814,0.0095895507390925
15,e-singular,5000,p0,0.24925988673074775,0.25,252.28876247527884,0.01186652845182334,0.10893359652477899,0.0007401132692522461,5.477676513232477e-07
16,e-singular,5000,p1,0.35259066836910624,0.35,10.134867886377151,0.3280692646257541,0.5727733099802697,0.0025906683691062637,6.711562598687708e-06
17,e-singular,5000,w0,0.7699416099217117,0.75,2.2753190358648343,1.0158841210030614,1.0079107703577046,0.019941609921711678,0.0003976678062697096
18,singular1,50,p0,0.11557774894613951,0.15,1.3961864106685056,27.91673705252451,5.283629155469232,0.034422251053860486,0.0011848913676149994
19,singular1,50,p1,0.15955225070192214,0.35,6.713162972471664,5.637466136572793,2.3743348829878217,0.19044774929807784,0.03627034521270351
20,singular1,50,w0,0.2763476609561384,1.0,0.022954806475702697,2832.415718482234,53.22044455359457,0.7236523390438616,0.523672707803652
21,singular1,250,p0,0.11178654555800814,0.15,0.44818354196353544,77.13841829399296,8.782847960314067,0.038213454441991854,0.0014602681003901869
22,singular1,250,p1,0.1558222971084043,0.35,55.762329382869765,0.4685869437305843,0.6845341070615725,0.19417770289159567,0.0377049803002568
23,singular1,250,w0,0.06590774555267415,1.0,0.11857063303117037,403.1286418913052,20.078063698756043,0.9340922544473258,0.8725283398184877
24,singular1,5000,p0,0.14604123213398773,0.15,802.6183521494293,4.932582721902508,2.220941854687445,0.003958767866012264,1.5671843016971293e-05
25,singular1,5000,p1,0.15921327908571062,0.35,91.57641861387323,45.609792446999364,6.753502235655169,0.19078672091428936,0.036399572877226935
26,singular1,5000,w0,0.7425785165783568,1.0,0.2382492128063646,63045.37034230066,251.08837157921243,0.25742148342164317,0.06626582012699932
