ctrial,ge,cn,cchain_size,cname
1,0.0110468884090764,10,4000,Gn
1,1.32417548062662,10,4000,Tn
1,0.0391748101730329,25,4000,Gn
1,1.45562736738417,25,4000,Tn
1,0.00107555062921771,50,4000,Gn
1,1.28423381274692,50,4000,Tn
1,0.00229676226700626,100,4000,Gn
1,1.44091455550309,100,4000,Tn
1,0.00327935807946655,250,4000,Gn
1,1.43619900335136,250,4000,Tn
1,0.000702480287012586,500,4000,Gn
1,1.39943436123868,500,4000,Tn
1,0.00103365683121726,1000,4000,Gn
1,1.43244774090055,1000,4000,Tn
1,0.0127318708274571,10,6000,Gn
1,1.21855555340735,10,6000,Tn
1,0.0107256785666132,25,6000,Gn
1,1.36315234769347,25,6000,Tn
1,0.0344573673945678,50,6000,Gn
1,1.41077049285086,50,6000,Tn
1,0.00832229831418685,100,6000,Gn
1,1.47493623713658,100,6000,Tn
1,0.00511602973082859,250,6000,Gn
1,1.41197434313624,250,6000,Tn
1,0.000171315935833638,500,6000,Gn
1,1.420926533803,500,6000,Tn
1,0.000539170648349741,1000,6000,Gn
1,1.44208846157197,1000,6000,Tn
1,0.0104902639980529,10,8000,Gn
1,1.32395641683166,10,8000,Tn
1,0.0159602065354798,25,8000,Gn
1,1.56898137073955,25,8000,Tn
1,0.009684140060924,50,8000,Gn
1,1.45306422418806,50,8000,Tn
1,0.0424200003674378,100,8000,Gn
1,1.46965016104002,100,8000,Tn
1,0.00063679136376904,250,8000,Gn
1,1.41229153660151,250,8000,Tn
1,0.00525364220335578,500,8000,Gn
1,1.40810320100037,500,8000,Tn
1,0.00326201811007509,1000,8000,Gn
1,1.40187960861118,1000,8000,Tn
1,0.0649844901376253,10,10000,Gn
1,1.19689425297299,10,10000,Tn
1,0.0576053786739581,25,10000,Gn
1,1.66005433141584,25,10000,Tn
1,0.00791185004822692,50,10000,Gn
1,1.51393306461402,50,10000,Tn
1,0.00212797868499992,100,10000,Gn
1,1.27354401203123,100,10000,Tn
1,0.00507636723055005,250,10000,Gn
1,1.50580833462534,250,10000,Tn
1,0.00158491064426536,500,10000,Gn
1,1.41802162768374,500,10000,Tn
1,0.000952836363067755,1000,10000,Gn
1,1.45801687901735,1000,10000,Tn
2,0.0280573400828552,10,4000,Gn
2,1.52554982393781,10,4000,Tn
2,0.0217734888274692,25,4000,Gn
2,1.46679308211973,25,4000,Tn
2,0.0120638426537445,50,4000,Gn
2,1.48196256215658,50,4000,Tn
2,0.0277764333643811,100,4000,Gn
2,1.40662467106505,100,4000,Tn
2,0.00178059355417015,250,4000,Gn
2,1.44780095222014,250,4000,Tn
2,0.000323220241849498,500,4000,Gn
2,1.39739561624416,500,4000,Tn
2,0.000192455889653553,1000,4000,Gn
2,1.41648903007122,1000,4000,Tn
2,0.078757638184132,10,6000,Gn
2,1.47597275629585,10,6000,Tn
2,0.00571858673858938,25,6000,Gn
2,1.38687528963748,25,6000,Tn
2,0.00196029367100192,50,6000,Gn
2,1.35248028458129,50,6000,Tn
2,0.0170432867522985,100,6000,Gn
2,1.41605553220274,100,6000,Tn
2,0.000424570937996194,250,6000,Gn
2,1.35244041198429,250,6000,Tn
2,0.000142652424393708,500,6000,Gn
2,1.41437698396036,500,6000,Tn
2,8.2733897767806e-05,1000,6000,Gn
2,1.41655063506106,1000,6000,Tn
2,0.124619066164905,10,8000,Gn
2,1.71999812337061,10,8000,Tn
2,0.00608893816969758,25,8000,Gn
2,1.44396654953709,25,8000,Tn
2,0.0367113707793922,50,8000,Gn
2,1.38410722566741,50,8000,Tn
2,0.00231571206292647,100,8000,Gn
2,1.33458516118703,100,8000,Tn
2,0.00111123703019267,250,8000,Gn
2,1.45085454289796,250,8000,Tn
2,0.00268052050117529,500,8000,Gn
2,1.36078234104913,500,8000,Tn
2,0.000837075501443296,1000,8000,Gn
2,1.45466720633142,1000,8000,Tn
2,0.0435709500035821,10,10000,Gn
2,1.68038923506185,10,10000,Tn
2,0.0174529937318677,25,10000,Gn
2,1.25284323467188,25,10000,Tn
2,0.001708413118372,50,10000,Gn
2,1.28155817492526,50,10000,Tn
2,0.00244354381997347,100,10000,Gn
2,1.47159975498007,100,10000,Tn
2,0.00105163485707149,250,10000,Gn
2,1.41848059100887,250,10000,Tn
2,0.0013008688333862,500,10000,Gn
2,1.36359380210585,500,10000,Tn
2,0.00226377377410136,1000,10000,Gn
2,1.44386915299228,1000,10000,Tn
3,0.017890928451769,10,4000,Gn
3,1.49702907571763,10,4000,Tn
3,0.0195736295488971,25,4000,Gn
3,1.28566207955939,25,4000,Tn
3,0.00450014313114422,50,4000,Gn
3,1.38081314912348,50,4000,Tn
3,0.00393038260066514,100,4000,Gn
3,1.36213372780882,100,4000,Tn
3,0.00054599825403101,250,4000,Gn
3,1.39381590804644,250,4000,Tn
3,0.00186773987027267,500,4000,Gn
3,1.46956450592858,500,4000,Tn
3,-4.76443053345488e-05,1000,4000,Gn
3,1.37732413954459,1000,4000,Tn
3,0.0146746491924692,10,6000,Gn
3,1.29668446944784,10,6000,Tn
3,0.00581054644520429,25,6000,Gn
3,1.40409356789218,25,6000,Tn
3,0.00931874740654437,50,6000,Gn
3,1.39345022411894,50,6000,Tn
3,0.00805147065528278,100,6000,Gn
3,1.52338578116825,100,6000,Tn
3,0.00154545011070129,250,6000,Gn
3,1.42412357430317,250,6000,Tn
3,0.00486249388873628,500,6000,Gn
3,1.41097640518548,500,6000,Tn
3,0.000952414307841432,1000,6000,Gn
