trial,RLCT,beta,c,n,chain_size
1,0.694433852355427,0.356986524645911,2.5,1100,6000
1,0.659443019889307,0.352605487628167,2.5,1200,6000
1,0.741442932094751,0.348669221600902,2.5,1300,6000
1,0.694820828945582,0.3451023583419,2.5,1400,6000
1,0.709226053077329,0.341846665035986,2.5,1500,6000
1,0.66276882851063,0.338856288352271,2.5,1600,6000
1,0.86644709769228,0.336094527783123,2.5,1700,6000
1,0.694539739806391,0.333531587004165,2.5,1800,6000
1,0.773535510287123,0.33114296982933,2.5,1900,6000
1,0.609567229891087,0.32890831230988,2.5,2000,6000
1,0.810883581981227,0.651441722854878,3,100,6000
1,0.749953683876376,0.566217497453265,3,200,6000
1,0.725517801419987,0.525966762114438,3,300,6000
1,0.798525745426265,0.500712301043001,3,400,6000
1,0.710609024774168,0.482733577482007,3,500,6000
1,0.732310518584445,0.468974986703779,3,600,6000
1,0.763202860757388,0.457939736130579,3,700,6000
1,0.707843182048667,0.448791960134776,3,800,6000
1,0.887396044499343,0.441021155692809,3,900,6000
1,0.757288566133199,0.434294481903252,3,1000,6000
1,0.782982161178935,0.428383829575093,3,1100,6000
1,0.659340937005708,0.4231265851538,3,1200,6000
1,0.69935554718885,0.418403065921083,3,1300,6000
1,0.665630345237131,0.41412283001028,3,1400,6000
1,0.737940198087233,0.410215998043183,3,1500,6000
1,0.610532656811302,0.406627546022725,3,1600,6000
1,0.761050431165301,0.403313433339747,3,1700,6000
1,0.729396934190447,0.400237904404998,3,1800,6000
1,0.743995205317657,0.397371563795196,3,1900,6000
1,0.719051097935125,0.394689974771856,3,2000,6000
1,0.790418822817627,0.760015343330691,3.5,100,6000
1,0.772844547790172,0.660587080362142,3.5,200,6000
1,0.683792536898122,0.613627889133511,3.5,300,6000
1,0.895873010014839,0.584164351216835,3.5,400,6000
1,0.711130751107331,0.563189173729009,3.5,500,6000
1,0.800457479344072,0.547137484487742,3.5,600,6000
1,0.655955237053289,0.534263025485675,3.5,700,6000
1,0.720023388303974,0.523590620157239,3.5,800,6000
1,0.842337357138418,0.514524681641611,3.5,900,6000
1,0.825477126381612,0.506676895553794,3.5,1000,6000
1,0.767822972149182,0.499781134504275,3.5,1100,6000
1,0.692537962515249,0.493647682679434,3.5,1200,6000
1,0.69654567209444,0.488136910241263,3.5,1300,6000
1,0.757241572388693,0.48314330167866,3.5,1400,6000
1,0.737239522934608,0.47858533105038,3.5,1500,6000
1,0.687309490370844,0.474398803693179,3.5,1600,6000
1,0.897483005847395,0.470532338896372,3.5,1700,6000
1,0.695472793697132,0.466944221805831,3.5,1800,6000
1,0.707494540742743,0.463600157761062,3.5,1900,6000
1,0.738409531290261,0.460471637233832,3.5,2000,6000
1,0.817598316195062,0.868588963806504,4,100,6000
1,0.688845493275513,0.754956663271019,4,200,6000
1,0.735227996558638,0.701289016152584,4,300,6000
1,0.695586784101307,0.667616401390668,4,400,6000
1,0.69282117620854,0.64364476997601,4,500,6000
1,0.732137697283995,0.625299982271705,4,600,6000
1,0.612385989090183,0.610586314840772,4,700,6000
1,0.757282545838223,0.598389280179701,4,800,6000
1,0.771472442302351,0.588028207590412,4,900,6000
1,0.81328284268912,0.579059309204336,4,1000,6000
1,0.779546262575476,0.571178439433457,4,1100,6000
1,0.733682722198184,0.564168780205067,4,1200,6000
1,0.599372143520044,0.557870754561444,4,1300,6000
1,0.664453522393636,0.55216377334704,4,1400,6000
1,0.739650112353998,0.546954664057577,4,1500,6000
1,0.663812096089441,0.542170061363634,4,1600,6000
1,0.838101109930826,0.537751244452997,4,1700,6000
1,0.730677286789205,0.533650539206664,4,1800,6000
1,0.774708727462176,0.529828751726928,4,1900,6000
1,0.635097660840243,0.526253299695808,4,2000,6000
1,1.02963344089241,0.977162584282316,4.5,100,6000
1,0.720680549389651,0.849326246179897,4.5,200,6000
1,0.714054145539368,0.788950143171657,4.5,300,6000
1,0.73199492578406,0.751068451564502,4.5,400,6000
1,0.703441219496156,0.724100366223011,4.5,500,6000
1,0.77562888358541,0.703462480055668,4.5,600,6000
1,0.686758254614707,0.686909604195868,4.5,700,6000
1,0.667109445175426,0.673187940202164,4.5,800,6000
1,0.911517413249126,0.661531733539214,4.5,900,6000
1,0.741309311024641,0.651441722854878,4.5,1000,6000
1,0.690206037850839,0.64257574436264,4.5,1100,6000
1,0.79520572625929,0.634689877730701,4.5,1200,6000
1,0.675544542561645,0.627604598881625,4.5,1300,6000
1,0.665094531933883,0.62118424501542,4.5,1400,6000
1,0.776971546019463,0.615323997064774,4.5,1500,6000
1,0.731493096124266,0.609941319034088,4.5,1600,6000
1,0.964736373623028,0.604970150009621,4.5,1700,6000
1,0.746770640183973,0.600356856607497,4.5,1800,6000
1,0.724717385549582,0.596057345692794,4.5,1900,6000
1,0.649657758741213,0.592034962157784,4.5,2000,6000
1,0.915089138123749,1.08573620475813,5,100,6000
1,0.733264772624729,0.943695829088774,5,200,6000
1,0.713327368019733,0.876611270190731,5,300,6000
1,0.656635785761584,0.834520501738335,5,400,6000
1,0.740385777718684,0.804555962470013,5,500,6000
1,0.755081659980485,0.781624977839631,5,600,6000
1,0.72569232285141,0.763232893550965,5,700,6000
1,0.715262643989845,0.747986600224627,5,800,6000
1,0.802252166227139,0.735035259488015,5,900,6000
1,0.754336494956633,0.72382413650542,5,1000,6000
1,0.815234986662154,0.713973049291822,5,1100,6000
1,0.69393419479856,0.705210975256334,5,1200,6000
1,0.664631313531205,0.697338443201805,5,1300,6000
1,0.724506991760518,0.6902047166838,5,1400,6000
1,0.697481994335552,0.683693330071971,5,1500,6000
1,0.683480436366066,0.677712576704542,5,1600,6000
1,0.780208460632428,0.672189055566246,5,1700,6000
1,0.879533091902714,0.66706317400833,5,1800,6000
1,0.768340786622195,0.66228593965866,5,1900,6000
1,0.699060922444423,0.657816624619759,5,2000,6000
1,1.09787248916356,1.19430982523394,5.5,100,6000
1,0.743530997440104,1.03806541199765,5.5,200,6000
1,0.783945489032717,0.964272397209804,5.5,300,6000
1,0.699960685802845,0.917972551912169,5.5,400,6000
1,0.691961080712069,0.885011558717014,5.5,500,6000
1,0.748356374319497,0.859787475623594,5.5,600,6000
1,0.621771320088183,0.839556182906061,5.5,700,6000
1,0.679502850674027,0.822785260247089,5.5,800,6000
1,0.86415120781541,0.808538785436817,5.5,900,6000
1,0.734436366103094,0.796206550155962,5.5,1000,6000
1,0.654019755620941,0.785370354221004,5.5,1100,6000
1,0.748621765254935,0.775732072781967,5.5,1200,6000
1,0.615064782604264,0.767072287521985,5.5,1300,6000
1,0.757448922661665,0.75922518835218,5.5,1400,6000
1,0.780662472026925,0.752062663079169,5.5,1500,6000
1,0.703036833567519,0.745483834374996,5.5,1600,6000
1,0.801458528669529,0.73940796112287,5.5,1700,6000
1,0.75801490668227,0.733769491409163,5.5,1800,6000
1,0.769932166669235,0.728514533624526,5.5,1900,6000
1,0.685714186408082,0.723598287081735,5.5,2000,6000
1,1.13816050838399,1.30288344570976,6,100,6000
1,0.723123363244755,1.13243499490653,6,200,6000
1,0.704935834966322,1.05193352422888,6,300,6000
1,0.697435365200074,1.001424602086,6,400,6000
1,0.776056580256677,0.965467154964015,6,500,6000
1,0.69687239210792,0.937949973407557,6,600,6000
1,0.639778759789876,0.915879472261157,6,700,6000
1,0.695825510139157,0.897583920269552,6,800,6000
1,0.965984979772372,0.882042311385618,6,900,6000
1,0.774757506563165,0.868588963806504,6,1000,6000
1,0.72596332286804,0.856767659150186,6,1100,6000
1,0.771746222339111,0.846253170307601,6,1200,6000
1,0.726106015041995,0.836806131842166,6,1300,6000
1,0.700231911774928,0.82824566002056,6,1400,6000
1,0.720839485656591,0.820431996086366,6,1500,6000
1,0.751699522328535,0.81325509204545,6,1600,6000
1,0.907505674336859,0.806626866679495,6,1700,6000
1,0.716987071689257,0.800475808809996,6,1800,6000
1,0.76268508235619,0.794743127590392,6,1900,6000
1,0.644799704260986,0.789379949543711,6,2000,6000
1,1.2153786836484,1.41145706618557,6.5,100,6000
1,0.78728691009405,1.22680457781541,6.5,200,6000
1,0.726484238395949,1.13959465124795,6.5,300,6000
1,0.742379082250921,1.08487665225984,6.5,400,6000
1,0.823972073938714,1.04592275121102,6.5,500,6000
1,0.728891366609261,1.01611247119152,6.5,600,6000
1,0.696378676042932,0.992202761616254,6.5,700,6000
1,0.758394965173077,0.972382580292015,6.5,800,6000
1,0.865549946747111,0.95554583733442,6.5,900,6000
1,0.797208773701726,0.940971377457046,6.5,1000,6000
1,0.689870027647061,0.928164964079368,6.5,1100,6000
1,0.759412361602401,0.916774267833234,6.5,1200,6000
1,0.782641174379547,0.906539976162346,6.5,1300,6000
