ctrial,cFE,cbeta,cm,cn,cchain_size,cname
44,16.2976237752609,0.434294481903252,-1,10,6000,AFE
44,16.0142861979905,0.434294481903252,0,10,6000,WBIC
44,15.7249370288469,0.434294481903252,1,10,6000,naiveBIC(1)
44,15.8509522088392,0.434294481903252,10,10,6000,naiveBIC(10)
45,16.2976247477218,0.434294481903252,-1,10,6000,AFE
45,16.077501928124,0.434294481903252,0,10,6000,WBIC
45,15.8733665256789,0.434294481903252,1,10,6000,naiveBIC(1)
45,15.8331427078024,0.434294481903252,10,10,6000,naiveBIC(10)
46,16.2976307225306,0.434294481903252,-1,10,6000,AFE
46,16.0383422568192,0.434294481903252,0,10,6000,WBIC
46,15.7577539338715,0.434294481903252,1,10,6000,naiveBIC(1)
46,15.8228837439709,0.434294481903252,10,10,6000,naiveBIC(10)
47,16.2976287047405,0.434294481903252,-1,10,6000,AFE
47,16.0078115377246,0.434294481903252,0,10,6000,WBIC
47,15.8163267852172,0.434294481903252,1,10,6000,naiveBIC(1)
47,15.8211789801541,0.434294481903252,10,10,6000,naiveBIC(10)
48,16.2976323309128,0.434294481903252,-1,10,6000,AFE
48,16.0255531407323,0.434294481903252,0,10,6000,WBIC
48,15.7646246876059,0.434294481903252,1,10,6000,naiveBIC(1)
48,15.820836388138,0.434294481903252,10,10,6000,naiveBIC(10)
49,16.2976249947687,0.434294481903252,-1,10,6000,AFE
49,16.0127525646263,0.434294481903252,0,10,6000,WBIC
49,15.9510779951236,0.434294481903252,1,10,6000,naiveBIC(1)
49,15.8646776301901,0.434294481903252,10,10,6000,naiveBIC(10)
50,16.2976345154039,0.434294481903252,-1,10,6000,AFE
50,16.0366987324875,0.434294481903252,0,10,6000,WBIC
50,15.690876895953,0.434294481903252,1,10,6000,naiveBIC(1)
50,15.8144071103804,0.434294481903252,10,10,6000,naiveBIC(10)
51,16.2976348453583,0.434294481903252,-1,10,6000,AFE
51,15.9746549723418,0.434294481903252,0,10,6000,WBIC
51,15.8932379958902,0.434294481903252,1,10,6000,naiveBIC(1)
51,15.8344837722363,0.434294481903252,10,10,6000,naiveBIC(10)
52,16.2976286439022,0.434294481903252,-1,10,6000,AFE
52,16.0225710668186,0.434294481903252,0,10,6000,WBIC
52,15.8123792615089,0.434294481903252,1,10,6000,naiveBIC(1)
52,15.8265239653875,0.434294481903252,10,10,6000,naiveBIC(10)
53,16.2976338619644,0.434294481903252,-1,10,6000,AFE
53,16.0184409822733,0.434294481903252,0,10,6000,WBIC
53,15.7925146495661,0.434294481903252,1,10,6000,naiveBIC(1)
53,15.842513778125,0.434294481903252,10,10,6000,naiveBIC(10)
54,16.2976307834076,0.434294481903252,-1,10,6000,AFE
54,16.0141634846516,0.434294481903252,0,10,6000,WBIC
54,15.8907585204399,0.434294481903252,1,10,6000,naiveBIC(1)
54,15.8531483591999,0.434294481903252,10,10,6000,naiveBIC(10)
55,16.2976301503865,0.434294481903252,-1,10,6000,AFE
