,dsid,n,pname,mle,method,upper,lower
0,regular,50,p0,0.14724496306528875,gaus_approx,-0.6921143210876223,0.9866042472181998
1,regular,50,p0,0.14724496306528875,bootstrap,0.13397198388733064,0.16113549229592916
2,regular,50,p1,0.37050945592339946,gaus_approx,-12.098313499797367,12.839332411644165
3,regular,50,p1,0.37050945592339946,bootstrap,0.3405628516919201,0.39612785592671873
4,regular,50,w0,0.7529610005216394,gaus_approx,-9.824811443309438,11.330733444352715
5,regular,50,w0,0.7529610005216394,bootstrap,0.6226481447961394,0.859636080930167
6,regular,250,p0,0.14611359656165723,gaus_approx,-0.2590553892827408,0.5512825824060552
7,regular,250,p0,0.14611359656165723,bootstrap,0.1410393462184647,0.15154063874063248
8,regular,250,p1,0.3568640421481125,gaus_approx,-4.529147723013611,5.242875807309836
9,regular,250,p1,0.3568640421481125,bootstrap,0.344691106037702,0.3680191538519724
10,regular,250,w0,0.7401362389249316,gaus_approx,-3.64437099935293,5.124643477202794
11,regular,250,w0,0.7401362389249316,bootstrap,0.6888832077053938,0.7951871870569844
12,regular,5000,p0,0.15025730976494206,gaus_approx,0.06252655970418415,0.23798805982569998
13,regular,5000,p0,0.15025730976494206,bootstrap,0.14911094759003835,0.15148594234966456
14,regular,5000,p1,0.35265303317776886,gaus_approx,-0.9744960989106233,1.679802165266161
15,regular,5000,p1,0.35265303317776886,bootstrap,0.3497858016181497,0.35548997999672005
16,regular,5000,w0,0.7601100980971465,gaus_approx,-0.1923321534464314,1.7125523496407244
17,regular,5000,w0,0.7601100980971465,bootstrap,0.7483152874142522,0.7720708144863694
18,e-singular,50,p0,0.27387561019004,gaus_approx,-0.6206173135074524,1.1683685338875325
19,e-singular,50,p0,0.27387561019004,bootstrap,0.252995006122147,0.2865312838160521
20,e-singular,50,p1,0.5598345643184832,gaus_approx,-37404.76446743949,37405.88413656812
21,e-singular,50,p1,0.5598345643184832,bootstrap,0.29817645341763305,0.5599928984278186
22,e-singular,50,w0,0.9799817780582984,gaus_approx,-10.25706147700232,12.217025033118919
23,e-singular,50,w0,0.9799817780582984,bootstrap,0.5733719590275322,0.999999999
24,e-singular,250,p0,0.2552423584925917,gaus_approx,-0.5880717597350803,1.0985564767202636
25,e-singular,250,p0,0.2552423584925917,bootstrap,0.24526467293826443,0.2651623317517234
26,e-singular,250,p1,0.3623624424005245,gaus_approx,-7.814952903808988,8.539677788610037
27,e-singular,250,p1,0.3623624424005245,bootstrap,0.330119842253704,0.44072137940431005
28,e-singular,250,w0,0.8476696347490453,gaus_approx,-7.974718886367223,9.670058155865314
29,e-singular,250,w0,0.8476696347490453,bootstrap,0.7180879056056133,0.9585741064964741
30,e-singular,5000,p0,0.2492802568567728,gaus_approx,0.03597459254395308,0.4625859211695925
31,e-singular,5000,p0,0.2492802568567728,bootstrap,0.24723455048631982,0.2511798283923796
32,e-singular,5000,p1,0.35265115344639403,gaus_approx,-0.7713563458169073,1.4766586527096954
33,e-singular,5000,p1,0.35265115344639403,bootstrap,0.3472718945745498,0.3580203013093561
34,e-singular,5000,w0,0.7702279468705866,gaus_approx,-1.2036500349367065,2.7441059286778797
35,e-singular,5000,w0,0.7702279468705866,bootstrap,0.7465572058701321,0.7916435379017214
36,singular1,50,p0,0.11527953500120486,gaus_approx,-10.318000824891609,10.54855989489402
37,singular1,50,p0,0.11527953500120486,bootstrap,0.07727856600298319,0.15199999995637659
38,singular1,50,p1,0.15941321434945266,gaus_approx,-4.429082592804842,4.747909021503747
39,singular1,50,p1,0.15941321434945266,bootstrap,0.14651266890167164,0.2026008233522786
40,singular1,50,w0,0.27220060794522516,gaus_approx,-102.56353176935269,103.10793298524314
41,singular1,50,w0,0.27220060794522516,bootstrap,0.047558280629390624,0.999999999
42,singular1,250,p0,0.11178716678659652,gaus_approx,-17.10210622177152,17.32568055534471
43,singular1,250,p0,0.11178716678659652,bootstrap,0.07148348802733297,0.15632099996519722
44,singular1,250,p1,0.15582236499748248,gaus_approx,-1.1858788614822973,1.497523591477262
45,singular1,250,p1,0.15582236499748248,bootstrap,0.15159014221019584,0.20185102464808757
46,singular1,250,w0,0.06591011543953862,gaus_approx,-39.28825474036979,39.42007497124886
47,singular1,250,w0,0.06591011543953862,bootstrap,0.01522108074557842,0.999999999
48,singular1,5000,p0,0.14512007263834933,gaus_approx,-6.323111932411671,6.613352077688369
49,singular1,5000,p0,0.14512007263834933,bootstrap,0.13026106501618787,0.14982229995364482
50,singular1,5000,p1,0.15681007078382367,gaus_approx,-11.428111758806784,11.74173190037443
51,singular1,5000,p1,0.15681007078382367,bootstrap,0.15138315814932587,0.2142261392292888
52,singular1,5000,w0,0.6311438797516075,gaus_approx,-700.5514018802429,701.813689639746
53,singular1,5000,w0,0.6311438797516075,bootstrap,0.12731395090346626,0.999999999
