dsid,n,p0,p1,w0,fisher_mat
regular,50,0.3396222671249036,0.1581651449423608,0.6703228486963251,"[ 0.93003699 -0.01188099 -0.00744996 -0.01188099  0.22563705  0.00536758
 -0.00744996  0.00536758  0.02667551]"
regular,50,0.3598931132900465,0.13838098431454135,0.7603150963534034,"[ 1.22597216e+00 -8.37591393e-04  2.32325620e-02 -8.37591393e-04
  6.13772129e-02  7.11537269e-03  2.32325620e-02  7.11537269e-03
  2.32126541e-02]"
regular,50,0.3524962413460515,0.15358458523376206,0.8929361820102222,"[ 2.34799149e+00 -2.08673190e-03  3.48276631e-02 -2.08673190e-03
  4.08247227e-03  3.96705335e-04  3.48276631e-02  3.96705335e-04
  2.62394333e-02]"
regular,50,0.14420496251190731,0.3441741821957564,0.3239207628962313,"[ 1.50101199e-01 -3.74787497e-03 -1.88107697e-02 -3.74787497e-03
  7.54472179e-01  7.14380973e-04 -1.88107697e-02  7.14380973e-04
  3.04954491e-02]"
regular,50,0.14203980885269296,0.35673437271279357,0.1999788534039015,"[ 4.89528246e-02 -5.97680204e-04 -2.07087470e-03 -5.97680204e-04
  1.78263249e+00 -1.80353221e-02 -2.07087470e-03 -1.80353221e-02
  2.68530760e-02]"
regular,50,0.15579438668201953,0.3549619863815722,0.273950112688408,"[ 1.42613703e-01 -5.03425434e-03 -1.35086291e-02 -5.03425434e-03
  1.08168125e+00 -5.28543540e-07 -1.35086291e-02 -5.28543540e-07
  2.34639481e-02]"
regular,50,0.14947519595776093,0.3531184331696956,0.37967591867157907,"[ 0.43607758 -0.00227521  0.00533586 -0.00227521  0.65906318 -0.0043094
  0.00533586 -0.0043094   0.02827813]"
regular,50,0.15795048221927632,0.3514249907999269,0.27406706541819836,"[ 0.06557898 -0.00748878  0.00139115 -0.00748878  1.09312542  0.01413536
  0.00139115  0.01413536  0.02431774]"
regular,50,0.15366277589004337,0.3375953844678897,0.2652894712099841,"[ 0.1110574  -0.00859669  0.00203173 -0.00859669  1.1388278   0.02871179
  0.00203173  0.02871179  0.02682179]"
regular,50,0.13195793274386472,0.34324576834736403,0.23780719890403332,"[ 0.11426444 -0.00132065  0.00116773 -0.00132065  0.99115433  0.00952688
  0.00116773  0.00952688  0.02537888]"
regular,50,0.150317037729663,0.3498806572470891,0.2539573964916166,"[ 0.07129004 -0.00618444 -0.00746024 -0.00618444  1.28360429  0.00235504
 -0.00746024  0.00235504  0.01891414]"
