dsid,n,p0,p1,w0,fisher_mat
regular,50,0.15816514420119016,0.33962226652416333,0.3296771477378904,"[24.309067   -1.25603229 -0.5201678  -1.25603229 59.93598802  0.29677183
 -0.5201678   0.29677183  1.88524133]"
regular,50,0.3598931178481434,0.1383809943173584,0.7603150698848107,"[ 8.08128062 -0.00848231  0.12595459 -0.00848231  0.52232951  0.04523508
  0.12595459  0.04523508  0.13937285]"
regular,50,0.3525016841274128,0.15361398422367345,0.8928959199703018,"[ 6.25886059e+00 -7.60913791e-03  7.73525859e-02 -7.60913791e-03
  1.94836066e-02  1.67598021e-03  7.73525859e-02  1.67598021e-03
  6.73421921e-02]"
regular,50,0.3442055942133787,0.1442480296322731,0.6759032630291284,"[ 7.84645311e+00 -7.23835123e-02  7.53830058e-03 -7.23835123e-02
  1.64278379e+00  1.84801742e-01  7.53830058e-03  1.84801742e-01
  2.77451337e-01]"
regular,50,0.3567343728413383,0.14203980932584373,0.8000211456763803,"[ 8.60749140e+00 -3.78753845e-03  7.71399418e-02 -3.78753845e-03
  3.18218214e-01  9.97124597e-03  7.71399418e-02  9.97124597e-03
  1.28346593e-01]"
regular,50,0.15579436746728992,0.354961975490731,0.2739500465573163,"[ 2.55270595e+01 -8.79593420e-01 -2.09867825e+00 -8.79593420e-01
  1.14336809e+02 -1.06306870e-01 -2.09867825e+00 -1.06306870e-01
  2.56885196e+00]"
regular,50,0.3531184327064506,0.14947519554191938,0.6203240835148284,"[ 9.53172854 -0.03648193  0.0596523  -0.03648193  5.88028793 -0.06902629
  0.0596523  -0.06902629  0.35221326]"
regular,50,0.3514249906057898,0.15795048176112542,0.7259329359592164,"[ 8.42568266e+00 -8.82345636e-02 -1.01812617e-01 -8.82345636e-02
  6.17367929e-01 -6.97126244e-03 -1.01812617e-01 -6.97126244e-03
  1.75945342e-01]"
regular,50,0.1536624854828946,0.3375952618786371,0.26528856267384954,"[ 21.45011076  -1.56602666   0.419672    -1.56602666 123.45284307
   1.85164957   0.419672     1.85164957   3.04187841]"
regular,50,0.1319579334895007,0.3432457687689336,0.23780720126401245,"[ 30.16543678  -0.34235548   0.30327683  -0.34235548 138.63320806
   1.74176753   0.30327683   1.74176753   3.54249177]"
regular,50,0.34988091511423347,0.15031764250507595,0.7460408698874591,"[ 9.49243796e+00 -6.87241138e-02 -4.09962116e-03 -6.87241138e-02
  6.20423413e-01  5.80363075e-02 -4.09962116e-03  5.80363075e-02
  1.26676108e-01]"
regular,50,0.15572388785635938,0.34737800786875034,0.31086212946999753,"[26.23903605 -1.00220958 -1.50012761 -1.00220958 68.49975013 -0.41123541
 -1.50012761 -0.41123541  2.11319585]"
regular,50,0.14295640560776324,0.3405824567303674,0.2792266324045154,"[ 18.4812329   -0.69991491  -0.93402181  -0.69991491 115.29896045
  -1.21311034  -0.93402181  -1.21311034   2.8302936 ]"
regular,50,0.34226568894609094,0.1575468444107101,0.7571136336471753,"[ 9.47204622e+00 -9.06495242e-02  5.92775828e-02 -9.06495242e-02
  5.40892777e-01 -1.79980500e-03  5.92775828e-02 -1.79980500e-03
  1.49968024e-01]"
regular,50,0.15015414311728464,0.3685349935887891,0.2799466778190163,"[ 27.68237832  -0.22158678  -1.86702413  -0.22158678 108.7093191
   0.60528976  -1.86702413   0.60528976   2.38142326]"
regular,50,0.1372172120247919,0.3497366621843584,0.23873891140911394,"[ 28.60881813  -0.24870127  -0.45395338  -0.24870127 128.16782159
   3.05706439  -0.45395338   3.05706439   3.74730049]"
regular,50,0.15710611866732815,0.3621572981798091,0.39481508164102735,"[29.13220361 -0.42793178 -0.73678956 -0.42793178 19.52992862 -0.51126224
 -0.73678956 -0.51126224  1.22189583]"
regular,50,0.33503473294644565,0.14834699007272023,0.7844811216467478,"[ 7.76068779e+00 -7.02040134e-02 -2.77268432e-01 -7.02040134e-02
  5.84576073e-01  4.73553020e-03 -2.77268432e-01  4.73553020e-03
  1.10356716e-01]"
regular,50,0.16518462540628415,0.3369548366011507,0.2023333170483367,"[ 22.11832204  -6.52313506   1.01592714  -6.52313506 317.73937765
  -0.95245265   1.01592714  -0.95245265   4.45824979]"
regular,50,0.3636398863988659,0.16017165458738952,0.8012471724021492,"[ 6.87867168e+00 -2.25465495e-02 -2.22379007e-01 -2.25465495e-02
  2.34969522e-01  1.40424439e-03 -2.22379007e-01  1.40424439e-03
  1.02593293e-01]"
regular,50,0.3419240133175068,0.14895861632381005,0.7785923591321273,"[ 8.56398121 -0.03282741 -0.12052335 -0.03282741  0.41355358  0.02060601
 -0.12052335  0.02060601  0.13962422]"
regular,50,0.354396267242289,0.1286804752954646,0.7900179387827015,"[ 7.44436681e+00 -4.16350042e-03 -2.15665392e-01 -4.16350042e-03
  5.17668095e-01  1.36083879e-02 -2.15665392e-01  1.36083879e-02
  1.27305266e-01]"
regular,50,0.14632536353787284,0.35247754903604755,0.20701962937194018,"[ 22.79836676  -0.96684941  -1.96877176  -0.96684941 277.97116025
  -2.82929312  -1.96877176  -2.82929312   4.625274  ]"
regular,50,0.13830196502167866,0.3502482106017547,0.22009453611260316,"[ 21.26383278  -0.22443459  -0.53490284  -0.22443459 223.29106149
   1.56179395  -0.53490284   1.56179395   4.85254031]"
regular,50,0.34400960460613955,0.13545243152401357,0.7995292897949104,"[ 8.42018804 -0.00895865 -0.08570213 -0.00895865  0.32927769  0.03325709
 -0.08570213  0.03325709  0.12246209]"
regular,50,0.14885637510727395,0.35254521601143607,0.25796806431904246,"[ 20.75259946  -0.50495093  -0.5553565   -0.50495093 147.6433538
   1.27717715  -0.5553565    1.27717715   3.02124139]"
regular,50,0.1473717420347208,0.33423780678246706,0.3148661950038564,"[30.04062783 -1.06236839 -0.78866682 -1.06236839 77.80355187  0.26619779
 -0.78866682  0.26619779  1.95888749]"
regular,50,0.1564945694859768,0.36429102380236755,0.1948590698314609,"[ 16.07062163  -0.93442775  -0.62886907  -0.93442775 339.42914197
   3.57402053  -0.62886907   3.57402053   4.42164583]"
regular,50,0.14213754097508685,0.3387829927354422,0.30197999599711084,"[21.90867618 -0.59084057 -0.60964228 -0.59084057 74.2201136  -0.63855729
 -0.60964228 -0.63855729  2.59112091]"
regular,50,0.34748755601391035,0.14641604667897234,0.7618381829812552,"[ 7.84508701 -0.02580724  0.02223164 -0.02580724  0.72236383  0.04459543
  0.02223164  0.04459543  0.15850989]"
regular,50,0.14815977598527105,0.34543612108684546,0.2191652580778703,"[ 17.75783561  -0.84297862   0.71700963  -0.84297862 243.53355608
   1.34747498   0.71700963   1.34747498   4.40475668]"
regular,50,0.1564267480623331,0.3464452670033834,0.28021093575569717,"[ 16.37888445  -1.30885617  -1.60764188  -1.30885617 103.63944955
  -0.286714    -1.60764188  -0.286714     2.82104564]"
regular,50,0.1466570349128899,0.33961035640236525,0.17937165390673546,"[ 15.04695879  -0.97210385   2.67758711  -0.97210385 491.07526556
   1.6238763    2.67758711   1.6238763    6.58711673]"
regular,50,0.33221257045787633,0.1600722783291641,0.8395926362363213,"[ 6.81819066e+00 -6.93835358e-02 -6.77691035e-02 -6.93835358e-02
  1.27246755e-01 -3.62203980e-04 -6.77691035e-02 -3.62203980e-04
  1.00461235e-01]"
regular,50,0.33792763803560216,0.15479295156662715,0.7677794477082484,"[ 9.78330155 -0.05109352 -0.09948476 -0.05109352  0.43304084 -0.03247343
 -0.09948476 -0.03247343  0.15132935]"
regular,50,0.1588086787716172,0.34889174254673694,0.17829964371172521,"[ 13.51790976  -1.84107364  -2.38592688  -1.84107364 453.97771554
  -4.64899534  -2.38592688  -4.64899534   7.40468087]"
regular,50,0.13712752735061032,0.3636626773105942,0.13712078375510953,"[ 1.65461261e+01 -3.10632744e-01 -3.68255360e+00 -3.10632744e-01
  8.76819274e+02  3.52708652e+00 -3.68255360e+00  3.52708652e+00
  1.11705651e+01]"
regular,50,0.3368447734756821,0.13660513478375308,0.8110025880844371,"[ 7.96579093e+00 -1.52248891e-02 -1.26174528e-01 -1.52248891e-02
  1.92447354e-01 -3.00828701e-04 -1.26174528e-01 -3.00828701e-04
  1.20465762e-01]"
regular,50,0.14829222051102645,0.36600923441862265,0.27838538353436426,"[16.33016485 -0.23799544  0.23728205 -0.23799544 88.78044551 -0.65948956
  0.23728205 -0.65948956  2.75120875]"
regular,50,0.14024554648804036,0.35283281293986,0.21747686825983142,"[ 18.03263915  -0.43917762  -0.96132251  -0.43917762 215.14167995
   6.1709575   -0.96132251   6.1709575    4.3377557 ]"
regular,50,0.3430023421879803,0.17035698623616768,0.8354873663910906,"[ 8.28581202e+00 -6.79783051e-02  3.63837829e-02 -6.79783051e-02
  7.01891539e-02  3.02891411e-03  3.63837829e-02  3.02891411e-03
  1.04050916e-01]"
regular,50,0.14813992763677528,0.35776627498414953,0.35857265050557147,"[25.8701498  -0.19430366 -0.57174212 -0.19430366 37.11786754 -0.46711994
 -0.57174212 -0.46711994  1.65084814]"
regular,50,0.16828883810730222,0.36813318327951866,0.2678743961125658,"[ 18.89803924  -1.14942342  -1.67640926  -1.14942342 136.80681678
   1.10147078  -1.67640926   1.10147078   2.33724349]"
regular,50,0.14218924634872504,0.3336420570159332,0.3136128260885188,"[ 2.68690596e+01 -1.25719995e+00 -1.01380764e+00 -1.25719995e+00
  8.36223582e+01  2.02045646e-02 -1.01380764e+00  2.02045646e-02
  1.70641393e+00]"
regular,50,0.34981985196994175,0.17161659415109953,0.6474820228381958,"[ 9.64950726 -0.50557604 -0.14640971 -0.50557604  3.79221062  0.1339719
 -0.14640971  0.1339719   0.2083756 ]"
regular,50,0.1604862808164659,0.3546169815515937,0.21025516003923797,"[ 14.93928744  -2.04290767   1.1329443   -2.04290767 243.46200962
  -0.3420714    1.1329443   -0.3420714    4.35721109]"
regular,50,0.36005445977053263,0.14889518395273293,0.6824460611032258,"[ 9.42712414 -0.02473658 -0.05553854 -0.02473658  2.85232947  0.1417401
 -0.05553854  0.1417401   0.23057879]"
regular,50,0.14139381757810243,0.34545758866959914,0.25804476898542145,"[ 18.40181819  -0.68589706  -1.32506835  -0.68589706 116.78824303
   1.67060388  -1.32506835   1.67060388   3.18897783]"
regular,50,0.16464612535411402,0.3327761341966573,0.3472082979031281,"[23.37379191 -2.26504857 -0.26485327 -2.26504857 48.25324932 -0.52355735
 -0.26485327 -0.52355735  1.75230263]"
regular,50,0.3397023095078003,0.15191226557894208,0.8226620069357006,"[ 7.70615131e+00 -3.85138511e-02 -9.74936695e-04 -3.85138511e-02
  1.82610673e-01  5.53193348e-03 -9.74936695e-04  5.53193348e-03
  1.05636889e-01]"
regular,50,0.14633007475099571,0.3508969297738618,0.285955072083027,"[18.27039651 -0.68537422 -1.29815443 -0.68537422 98.5375184  -2.86156547
 -1.29815443 -2.86156547  2.67705659]"
regular,50,0.356338271393625,0.14535956230771546,0.7386548072432609,"[ 7.72320837 -0.02199977  0.1193805  -0.02199977  1.23517044  0.0273163
  0.1193805   0.0273163   0.15678561]"
regular,50,0.15512865125633057,0.34928195377469845,0.18069202696863468,"[ 1.95504040e+01 -1.71394777e+00  3.31873225e-01 -1.71394777e+00
  4.58909095e+02  5.22522618e+00  3.31873225e-01  5.22522618e+00
  5.88114577e+00]"
