ctrial,cFE,cbeta,cm,cn,cchain_size,cname
41,15.2773260438861,0.434294481903252,10,10,6000,naiveBIC(10)
42,16.3056019217227,0.434294481903252,-1,10,6000,AFE
42,15.5980011094453,0.434294481903252,0,10,6000,WBIC
42,15.1568576518737,0.434294481903252,1,10,6000,naiveBIC(1)
42,15.2702426333312,0.434294481903252,10,10,6000,naiveBIC(10)
43,16.3058576392658,0.434294481903252,-1,10,6000,AFE
43,15.5479337422665,0.434294481903252,0,10,6000,WBIC
43,15.2424883934198,0.434294481903252,1,10,6000,naiveBIC(1)
43,15.2615648519905,0.434294481903252,10,10,6000,naiveBIC(10)
44,16.3075257924805,0.434294481903252,-1,10,6000,AFE
44,15.5251552389789,0.434294481903252,0,10,6000,WBIC
44,15.2130189601088,0.434294481903252,1,10,6000,naiveBIC(1)
44,15.2459804978761,0.434294481903252,10,10,6000,naiveBIC(10)
45,16.3066448363332,0.434294481903252,-1,10,6000,AFE
45,15.5729462301805,0.434294481903252,0,10,6000,WBIC
45,15.2953722709863,0.434294481903252,1,10,6000,naiveBIC(1)
45,15.2392371307573,0.434294481903252,10,10,6000,naiveBIC(10)
46,16.3100943976316,0.434294481903252,-1,10,6000,AFE
46,15.5502679180075,0.434294481903252,0,10,6000,WBIC
46,15.2099983521655,0.434294481903252,1,10,6000,naiveBIC(1)
46,15.2315378963056,0.434294481903252,10,10,6000,naiveBIC(10)
47,16.3049676841657,0.434294481903252,-1,10,6000,AFE
47,15.5226062950066,0.434294481903252,0,10,6000,WBIC
47,15.4795010286755,0.434294481903252,1,10,6000,naiveBIC(1)
47,15.2568450870057,0.434294481903252,10,10,6000,naiveBIC(10)
48,16.3017108021779,0.434294481903252,-1,10,6000,AFE
48,15.5416078068694,0.434294481903252,0,10,6000,WBIC
48,15.2940106757178,0.434294481903252,1,10,6000,naiveBIC(1)
48,15.2780609764516,0.434294481903252,10,10,6000,naiveBIC(10)
49,16.3060425963786,0.434294481903252,-1,10,6000,AFE
49,15.576510541567,0.434294481903252,0,10,6000,WBIC
49,15.2662557045458,0.434294481903252,1,10,6000,naiveBIC(1)
49,19.7722569367178,0.434294481903252,10,10,6000,naiveBIC(10)
50,17.745491989115,0.434294481903252,-1,10,6000,AFE
50,15.5377611482575,0.434294481903252,0,10,6000,WBIC
50,15.3279174080588,0.434294481903252,1,10,6000,naiveBIC(1)
50,15.2549682382963,0.434294481903252,10,10,6000,naiveBIC(10)
51,16.3018405469936,0.434294481903252,-1,10,6000,AFE
51,15.4962652036139,0.434294481903252,0,10,6000,WBIC
51,15.3182116599071,0.434294481903252,1,10,6000,naiveBIC(1)
51,15.2237234760829,0.434294481903252,10,10,6000,naiveBIC(10)
52,16.3061383247372,0.434294481903252,-1,10,6000,AFE
52,15.5297851817363,0.434294481903252,0,10,6000,WBIC
52,15.5114092314223,0.434294481903252,1,10,6000,naiveBIC(1)
52,15.272992940351,0.434294481903252,10,10,6000,naiveBIC(10)
53,17.4082178952672,0.434294481903252,-1,10,6000,AFE
53,15.5737996996555,0.434294481903252,0,10,6000,WBIC
