trial,RLCT,beta,c,n,chain_size
1,0.71572932378102,0.37747833163551,2,200,4000
1,0.706406091030194,0.362222974997411,2,250,4000
1,0.697392943305789,0.350644508076292,2,300,4000
1,0.771128255357416,0.333808200695334,2,400,4000
1,0.775281844789121,0.321822384988005,2,500,4000
1,0.762482346347408,0.312649991135852,2,600,4000
1,0.819688165776659,0.305293157420386,2,700,4000
1,0.821028150874317,0.294014103795206,2,900,4000
1,0.71861845428881,0.299194640089851,2,800,4000
1,0.829355787705944,0.289529654602168,2,1000,4000
1,0.604825643689176,1.08573620475813,2.5,10,4000
1,0.851375521071619,0.639055546588329,2.5,50,4000
1,0.698355012118034,0.542868102379065,2.5,100,4000
1,0.737105908242577,0.498938727978388,2.5,150,4000
1,0.697827066519087,0.471847914544387,2.5,200,4000
1,0.852512049726126,0.452778718746764,2.5,250,4000
1,0.684289485426344,0.438305635095365,2.5,300,4000
1,0.81208325745997,0.417260250869168,2.5,400,4000
1,0.62267047659735,0.402277981235006,2.5,500,4000
1,0.708752902229134,0.390812488919816,2.5,600,4000
1,0.742506591845332,0.381616446775482,2.5,700,4000
1,0.774191776158684,0.367517629744008,2.5,900,4000
1,0.725433703696312,0.373993300112313,2.5,800,4000
1,0.817556584016971,0.36191206825271,2.5,1000,4000
1,1.11954242842511,1.08573620475813,5,100,4000
1,0.70947896800651,0.804555962470013,5,500,4000
1,0.769067025717358,4.34294481903252,10,10,4000
1,0.853509739113201,2.55622218635331,10,50,4000
1,1.77935057275611,2.17147240951626,10,100,4000
1,0.908493544067428,1.99575491191355,10,150,4000
1,0.847369464140033,1.81111487498706,10,250,4000
1,0.939943368028666,1.75322254038146,10,300,4000
1,0.833539439591077,1.88739165817755,10,200,4000
1,0.744120449941594,1.66904100347667,10,400,4000
1,0.647917922365464,1.56324995567926,10,600,4000
1,0.780335721787227,1.60911192494003,10,500,4000
1,0.683741425485047,1.52646578710193,10,700,4000
1,0.963548727387274,1.47007051897603,10,900,4000
1,0.779557977188815,1.44764827301084,10,1000,4000
2,0.408563658296841,0.217147240951626,0.5,10,4000
2,0.679569526014571,0.127811109317666,0.5,50,4000
2,0.767212429272279,0.108573620475813,0.5,100,4000
2,0.740087740064671,0.0997877455956775,0.5,150,4000
2,0.71970223395982,0.0905557437493528,0.5,250,4000
2,0.702800354151093,0.0943695829088774,0.5,200,4000
2,0.763410433507016,0.0834520501738335,0.5,400,4000
2,0.684659849787726,0.0804555962470012,0.5,500,4000
2,0.698690577101966,0.0763232893550965,0.5,700,4000
2,0.69551699646999,0.0735035259488015,0.5,900,4000
2,0.828412682762038,0.072382413650542,0.5,1000,4000
2,0.453792842157519,0.325720861427439,0.75,10,4000
2,0.73618317314988,0.191716663976499,0.75,50,4000
2,0.584527567229017,0.162860430713719,0.75,100,4000
2,0.658613737003816,0.149681618393516,0.75,150,4000
2,0.769531608244999,0.141554374363316,0.75,200,4000
2,0.633909567450397,0.13149169052861,0.75,300,4000
2,0.776371719733333,0.12517807526075,0.75,400,4000
2,0.709948126224549,0.117243746675945,0.75,600,4000
2,0.695590866172597,0.114484934032645,0.75,700,4000
2,0.814884145239228,0.110255288923202,0.75,900,4000
2,0.805854742683522,0.108573620475813,0.75,1000,4000
2,0.490979538808674,0.434294481903252,1,10,4000
2,0.800656370869963,0.255622218635331,1,50,4000
2,0.74975880752854,0.217147240951626,1,100,4000
2,0.743315017726879,0.199575491191355,1,150,4000
2,0.814593444971948,0.188739165817755,1,200,4000
2,0.821077614898662,0.181111487498706,1,250,4000
2,0.676997522980606,0.175322254038146,1,300,4000
2,0.782307838574539,0.166904100347667,1,400,4000
2,0.666188226349137,0.160911192494003,1,500,4000
2,0.808553166389288,0.152646578710193,1,700,4000
2,0.623667463061513,0.149597320044925,1,800,4000
1,0.664862256023844,2.17147240951626,5,10,4000
1,0.940070015440667,1.27811109317666,5,50,4000
1,0.802556360635039,0.997877455956775,5,150,4000
1,0.756398308945618,0.943695829088774,5,200,4000
1,0.779550198852658,0.876611270190731,5,300,4000
1,0.789351849150305,0.834520501738335,5,400,4000
1,0.779222529372728,0.781624977839631,5,600,4000
1,0.682377295282983,0.763232893550965,5,700,4000
1,0.715704233444927,0.735035259488015,5,900,4000
1,0.847200353818222,0.72382413650542,5,1000,4000
1,0.79964292967798,1.49597320044925,10,800,4000
2,0.637123721676217,0.087661127019073,0.5,300,4000
2,0.628801432472012,0.0781624977839631,0.5,600,4000
2,0.727895053387238,0.0747986600224627,0.5,800,4000
2,0.780053473829176,0.135833615624029,0.75,250,4000
1,0.753657833732229,0.905557437493528,5,250,4000
1,0.606958717030252,0.747986600224627,5,800,4000
2,0.756161492568308,0.120683394370502,0.75,500,4000
2,0.661252399708102,0.112197990033694,0.75,800,4000
2,0.746866521496671,0.156324995567926,1,600,4000
2,0.796021718560875,0.147007051897603,1,900,4000
2,0.756607039113008,0.144764827301084,1,1000,4000
2,0.603050706736833,0.542868102379065,1.25,10,4000
2,0.737358566214263,0.319527773294164,1.25,50,4000
2,0.620069149638361,0.271434051189532,1.25,100,4000
2,0.843768345755948,0.249469363989194,1.25,150,4000
2,0.79642882611518,0.235923957272194,1.25,200,4000
2,0.638853355098755,0.219152817547683,1.25,300,4000
2,0.76464657116774,0.208630125434584,1.25,400,4000
2,0.639950022365973,0.201138990617503,1.25,500,4000
2,0.667845445604096,0.190808223387741,1.25,700,4000
2,0.853478218725133,0.186996650056157,1.25,800,4000
2,0.843637621129699,0.183758814872004,1.25,900,4000
2,0.550204088113282,0.651441722854878,1.5,10,4000
2,0.770912381873689,0.383433327952997,1.5,50,4000
2,0.84770448310135,0.299363236787033,1.5,150,4000
2,0.726406431618744,0.283108748726632,1.5,200,4000
2,0.730848761835426,0.271667231248058,1.5,250,4000
2,0.763568338324047,0.262983381057219,1.5,300,4000
2,0.845920933023263,0.250356150521501,1.5,400,4000
2,0.679435467369535,0.241366788741004,1.5,500,4000
2,0.74372076038402,0.234487493351889,1.5,600,4000
2,0.702303534849297,0.228969868065289,1.5,700,4000
2,0.828234622498681,0.220510577846405,1.5,900,4000
2,0.762741731199808,0.217147240951626,1.5,1000,4000
2,0.601606782668004,0.760015343330691,1.75,10,4000
2,0.871340816178418,0.44733888261183,1.75,50,4000
2,0.659927459730827,0.380007671665345,1.75,100,4000
2,0.785531730887672,0.349257109584871,1.75,150,4000
2,0.747832261264267,0.330293540181071,1.75,200,4000
2,0.763041780557953,0.316945103122735,1.75,250,4000
2,0.838936578380818,0.306813944566756,1.75,300,4000
2,0.786854042367171,0.292082175608417,1.75,400,4000
2,0.676072825137735,0.267131512742838,1.75,700,4000
2,0.796572361807621,0.253338447776897,1.75,1000,4000
2,0.820756068923218,0.261795310078619,1.75,800,4000
2,0.663603745412266,0.868588963806504,2,10,4000
2,0.808869770387378,0.511244437270663,2,50,4000
2,0.720123101266721,0.434294481903252,2,100,4000
2,0.82543899997204,0.39915098238271,2,150,4000
2,0.698311483979085,0.37747833163551,2,200,4000
2,0.752805618542519,0.362222974997411,2,250,4000
2,0.662203835491485,0.350644508076292,2,300,4000
2,0.727546891161505,0.333808200695334,2,400,4000
2,0.753490801390738,0.321822384988005,2,500,4000
2,0.834364753149316,0.312649991135852,2,600,4000
2,0.917074974251007,0.294014103795206,2,900,4000
2,0.783685690380322,0.289529654602168,2,1000,4000
2,0.614406405985329,1.08573620475813,2.5,10,4000
2,0.8975247587601,0.639055546588329,2.5,50,4000
2,0.738735325858103,0.542868102379065,2.5,100,4000
2,0.806994545279658,0.498938727978388,2.5,150,4000
